job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
1443,greenhouse,6547632,https://job-boards.greenhouse.io/appier/jobs/6547632,appier,Technical Service Engineer (Greater China Region),Technical Service Engineer (Greater China Region),"About Appier&nbsp; Appier is a software-as-a-service (SaaS) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s mission is turning AI into ROI by making software intelligent. Appier now has 17 offices across APAC, Europe and U.S., and is listed on the Tokyo Stock Exchange (Ticker number: 4180).&nbsp;Visit&nbsp; www.appier.com &nbsp;for more information.. About the role As an Appier Technical Service Engineer (Greater China Region) , your primary responsibility is to assist clients in integrating Appier AI",software_engineer,software_engineering,,,,Taipei,TW,,,,software_engineer,service_engineering,,,0,unspecified,,,onsite,TW,Taipei,full_time,junior,,,,,,,,in_review,"Title normalization and role family are uncertain. Location is specific to Taipei, but the country field should be 'Taiwan' or 'TW'. Employment type and seniority are inferred.",ollama,qwen2.5:7b,0.550,1,low_confidence,low_confidence,0
1732,greenhouse,7427269,https://job-boards.greenhouse.io/capco/jobs/7427269,capco,LD Ops,LD Ops,"&nbsp; Job Title: Operations&nbsp; About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the &nbsp;British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar &amp; Seramount . With our presence across 32 cities across globe, we support 100+ clients across&nbsp;banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery.&nbsp; WHY JOIN CAPCO? You will work on engaging projects with the largest international and local banks, insurance comp",other,other,,,,India - Bengaluru,IN,,,,,,,,0,,,,onsite,IN,India - Bengaluru,,,,,,,,,,in_review,"Title and role family are not specified, employment type is missing, seniority level is unspecified. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,4
377,greenhouse,6177790,https://job-boards.greenhouse.io/canonical/jobs/6177790,canonical,MAAS Data Center Infrastructure Engineer (Toronto area),MAAS Data Center Infrastructure Engineer (Toronto area),"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1100+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",analytics_engineer,data_analytics,,,hybrid,Toronto,CA,,,,,engineering,,,0,unspecified,,,onsite,CA,Toronto,full_time,unspecified,,,,,,,,in_review,"Title does not match the prediction, and some fields are missing or unknown. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.350,1,low_confidence|missing_normalized_title,low_confidence,1
536,greenhouse,6072086,https://job-boards.greenhouse.io/canonical/jobs/6072086,canonical,UX Designer - Infrastructure,UX Designer - Infrastructure,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",product_designer,design,manager,,remote,,,,,,,design,,,0,,,,remote,,,,unspecified,,,,,,,,in_review,Title normalization and employment type are unknown. | rule_review: missing_normalized_title,ollama,qwen2.5:7b,0.350,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,2
41,greenhouse,7630247,https://job-boards.greenhouse.io/smartsheet/jobs/7630247,smartsheet,Client Services Director,Client Services Director,"For over 20 years, Smartsheet has helped people and teams achieve–well, anything. From seamless work management to smart, scalable solutions, we’ve always worked with flow. We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter. But more than that, we’re creating space– space to think big, take action, and unlock the kind of work that truly matters. Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. Smartsheet is looking for a high-impact Client Services Director to joi",customer_success_manager,customer_success,lead,full_time,remote,,US,,,,customer_success_manager,management,,,1,bachelor,,communication;leadership;problem_solving,remote,US,,full_time,lead,,,,,,,,in_review,"The normalized title does not match the prediction, and confidence is below the threshold.",ollama,qwen2.5:7b,0.620,1,low_confidence,low_confidence,0
1552,greenhouse,4989990,https://job-boards.greenhouse.io/capco/jobs/4989990,capco,Banco de Talentos - Energia,Banco de Talentos - Energia,"SOBRE A CAPCO A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros. Somos apaixonados por ajudar nossos clientes a ter sucesso em um setor em constante mudança. Estamos prospectando profissionais para vagas em Energy . Buscamos profissionais com 2 à 5 anos de experiência nas seguintes áreas: Engenharia (diversas especialidades); Administração; Análise de Sistemas; Tecnologia em Segurança; Tecnologia Industrial. &nbsp; Aplique-se aqui.&nbsp;",other,other,,,,Brazil,,,,,,,,,0,,,,onsite,BR,,full_time,junior,,,,,,,,in_review,"Title and role family are not specified, experience years are unknown, salary details are missing. | rule_review: missing_normalized_title,missing_role_family",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family,low_confidence,2
637,greenhouse,4600865005,https://job-boards.greenhouse.io/gleanwork/jobs/4600865005,gleanwork,"Product Design Lead, AI Products","Product Design Lead, AI Products","About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",product_designer,design,senior,,hybrid,San Francisco Bay Area,,235000,280000,USD,product_designer,design,,,1,unspecified,,,hybrid,US,San Francisco Bay Area,full_time,senior,,235000,280000,USD,yearly,,,in_review,Experience years and degree required are unknown. Country is inferred from the city.,ollama,qwen2.5:7b,0.000,1,low_confidence,low_confidence,0
289,greenhouse,6460571,https://job-boards.greenhouse.io/canonical/jobs/6460571,canonical,"Director, Talent Science","Director, Talent Science","Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",talent_analytics_specialist,hr,senior,,remote,,,,,,talent_analytics_specialist,management,,,1,master,,,,,,,senior,,,,,,,,in_review,"The normalized title does not match the prediction, and there is no clear information on experience or location.",ollama,qwen2.5:7b,0.450,1,low_confidence,low_confidence,2
713,greenhouse,4659510005,https://job-boards.greenhouse.io/gleanwork/jobs/4659510005,gleanwork,Strategic Solutions Engineer - Central (Remote),Strategic Solutions Engineer - Central (Remote),"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",software_engineer,software_engineering,lead,,remote,,US,210000,260000,USD,software_engineer,software_engineering,,,1,unspecified,,,remote,US,,,lead,,210000,260000,USD,yearly,,,in_review,Employment type and salary period are missing.,ollama,qwen2.5:7b,0.000,1,low_confidence,low_confidence,1
912,greenhouse,5815345004,https://job-boards.greenhouse.io/correlationone/jobs/5815345004,correlationone,Learning Designer,Learning Designer,"Correlation One develops the workforce’s skills for the AI economy Enterprises and governments work with us to develop talent and close critical data, digital, and technology skills gaps. Our global programs, including training programs and data competitions, also empower underrepresented communities and accelerate careers. Our mission is to create equal access to the data-driven jobs of the future. We partner with top employers and government organizations to make that a reality, including Amazon, Coca-Cola, Johnson &amp; Johnson, the U.S. State Department, and the U.S. Department of Defense.",content_designer,design,,,remote,: MENA,US,,,,,design,,,0,,,,remote,US,: MENA,,,,,,,,,,in_review,"Title normalization is uncertain, and some fields like seniority, employment type, salary details are missing. | rule_review: missing_normalized_title,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|too_many_core_fields_missing,low_confidence,3
