job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
12,greenhouse,7543805,https://job-boards.greenhouse.io/omadahealth/jobs/7543805,omadahealth,Senior Commercial Counsel,Senior Commercial Counsel,"Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp; Job overview: We are seeking two accomplished and highly motivated attorneys to join Omada’s Legal team as our next Senior Commercial Counsel hires. We are hiring two roles at the same level: one focused on revenue‑driving transactions with Omada’s customers and partners (Customer focus) and one focused on vendor agreements supporting Omada’s sourcing, operations, technology, and other internal procurement initiatives (Procurement focus). Reporting to the Senior Director, Legal, these roles ",legal_counsel,legal,associate,contract,remote,Remote,,197800,247300,USD,Senior Commercial Counsel,legal,,,1,unspecified,,,remote,,Remote,contract,senior,,197800,247300,USD,,,,in_review,The seniority level is not accurately reflected in the predicted role family and experience fields are unknown.,ollama,qwen2.5:7b,0.650,1,location_without_country|salary_without_period,location_without_country,0
99,greenhouse,7515921,https://job-boards.greenhouse.io/smartsheet/jobs/7515921,smartsheet,Sr. Commissions Analyst,Sr. Commissions Analyst,"For over 20 years, Smartsheet has helped people and teams achieve–well, anything. From seamless work management to smart, scalable solutions, we’ve always worked with flow. We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter. But more than that, we’re creating space– space to think big, take action, and unlock the kind of work that truly matters. Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. We are seeking a Senior Commissions Analyst to assist with both sales t",financial_analyst,finance,senior,full_time,remote,-REMOTE,,,,,Sr. Commissions Analyst,finance,,,1,bachelor,,,remote,,-REMOTE,full_time,senior,,,,,,,,in_review,"Title normalization and role family are correct, but experience years are unknown. | rule_review: location_without_country",ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
1436,greenhouse,7092458,https://job-boards.greenhouse.io/appier/jobs/7092458,appier,Staff/Senior Machine Learning Scientist (Ad Cloud),Staff/Senior Machine Learning Scientist (Ad Cloud),"About Appier&nbsp; Appier is an AI-native Agentic AI as a Service (AssA) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s mission is turning AI into ROI by making software intelligent. Appier now has 17 offices across APAC, Europe and U.S., and is listed on the Tokyo Stock Exchange (Ticker number: 4180). Visit www.appier.com for more information. Open to overseas candidates/Visa Support This position is based in Tokyo, Japan. For international candidates, Appier's Japan office provides visa sponsorship",ml_scientist,machine_learning,senior,,,Tokyo,,,,,ml_scientist,machine_learning,,10,1,master,,,onsite,,Tokyo,full_time,senior,,,,,,,,in_review,rule_review: location_without_country,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
346,greenhouse,7055576,https://job-boards.greenhouse.io/canonical/jobs/7055576,canonical,HR Generalist,HR Generalist,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",hr_generalist,hr,lead,,remote,Home Based - Americas; Home based - EMEA,,,,,hr_generalist,hr,,,1,unspecified,,,remote,,Home Based - Americas; Home based - EMEA,,lead,,,,,,,,in_review,rule_review: location_without_country,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,1
320,greenhouse,7084000,https://job-boards.greenhouse.io/canonical/jobs/7084000,canonical,Enterprise Customer Success Manager (French speaker),Enterprise Customer Success Manager (French speaker),"The role of an Enterprise Customer Success Manager at Canonical Customer success is a fairly new and strategic department at Canonical, with the objective to reduce risk and churn, facilitate the adoption of new products or services and support expansion within existing accounts. Customer Success Managers (CSM) are responsible for developing trust with their assigned customers and providing them with the best possible experience navigating Canonical's vast offering. By clearly understanding their customer’s objectives, the CSM can align expectations, suggest a large range of additional service",customer_success_manager,customer_success,manager,,remote,Home based - EMEA,,,,,Enterprise Customer Success Manager,customer_success,,,1,,,,remote,,Home based - EMEA,,manager,french,,,,,,,in_review,rule_review: location_without_country,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,1
1074,greenhouse,6657178003,https://job-boards.greenhouse.io/celonis/jobs/6657178003?gh_jid=6657178003,celonis,Associate Technology and Management Consultant (Japan) - Orbit Program,Associate Technology and Management Consultant (Japan) - Orbit Program,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? Location : Looking for Japanese citizens / visa holders, fluent in Japanese, willing to stay in Madrid for 12 months before having the view to relocate to Tokyo. Customer base will be in Japan, involving travel to meet clients in person. The Team As a Technology and Management Consultant, you",consultant,consulting,intern,internship,hybrid,Madrid,,,,,Associate Technology and Management Consultant,consulting,,,1,bachelor,,,onsite,,,full_time,junior,english;japanese,,,USD,yearly,process_intelligence_technology;ai;data_and_intelligence_at_the_core_of_business_processes,,in_review,rule_review: location_without_country,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
973,greenhouse,7584501,https://job-boards.greenhouse.io/gofundme/jobs/7584501,gofundme,Senior Revenue Accountant,Senior Revenue Accountant,"Want to help us help others? We’re hiring!&nbsp; GoFundMe is the world’s most powerful community for good, dedicated to helping people help each other. By uniting individuals and nonprofits in one place, GoFundMe makes it easy and safe for people to ask for help and support causes—for themselves and each other. Together, our community has raised more than $40 billion since 2010. Join us! The GoFundMe team is searching for a Senior Revenue Accountant to help us scale the future in a fast-paced environment that's growing rapidly! This role will lead the accounting strategy behind GoFundMe Pro’s ",accountant,finance,senior,full_time,hybrid,Remote,,85500,128500,USD,Senior Revenue Accountant,finance,,,1,bachelor,,,remote,,,full_time,senior,,85500,128500,USD,,,,in_review,"rule_review: location_without_country,salary_without_period",ollama,qwen2.5:7b,0.900,1,location_without_country|salary_without_period,location_without_country,0
26,greenhouse,7235663,https://job-boards.greenhouse.io/omadahealth/jobs/7235663,omadahealth,Staff Product Designer,Staff Product Designer,"Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time through products that help people live happier, healthier lives.&nbsp; Job Overview As a Staff Product Designer on our member experience product team, you’ll work closely with product managers, engineers, behavioral researchers, and data scientists to explore, design, prototype, test, and iterate on solutions that help people make lasting changes to their health. You thrive in ambiguity and proactively advocate for whatever it is you need to succeed. You deeply understand and can champion our users",product_designer,design,staff,,remote,Remote,,174800,218500,USD,Staff Product Designer,design,,,1,bachelor,,,remote,,Remote,,unspecified,,174800,218500,USD,yearly,,,in_review,rule_review: location_without_country,ollama,qwen2.5:7b,0.900,1,location_without_country,location_without_country,1
319,greenhouse,6856788,https://job-boards.greenhouse.io/canonical/jobs/6856788,canonical,Enterprise Customer Success Manager,Enterprise Customer Success Manager,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office-based roles. Teams meet two to four times yearly in person, in interesting locatio",customer_success_manager,customer_success,manager,,remote,Home based - Worldwide,,,,,customer success manager,customer_success,,,1,unspecified,,,remote,,,,manager,,,,,,,,in_review,rule_review: location_without_country,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,1
291,greenhouse,3821346,https://job-boards.greenhouse.io/canonical/jobs/3821346,canonical,Embedded & Desktop Linux Systems Engineer - Optimisation,Embedded & Desktop Linux Systems Engineer - Optimisation,"Work across the full Linux stack from kernel through GUI to optimise Ubuntu, the world’s most widely used Linux desktop and server, for the latest silicon. The role is a fast-paced, problem-solving role that’s challenging yet very exciting. The right candidate must be resourceful, articulate, and able to deliver on a wide variety of solutions across PC and IoT technologies. Our teams partner with specialist engineers from major silicon companies to integrate next-generation features and performance enhancements for upcoming hardware. Location: This is a Globally remote role What your day will ",software_engineer,software_engineering,lead,,remote,Home based - Worldwide,,,,,Embedded & Desktop Linux Systems Engineer - Optimisation,software_engineering,,,1,bachelor,,,remote,,,full_time,senior,,,,,,linux;ubuntu;kernel;gui_optimization;silicon,,in_review,rule_review: location_without_country,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
