job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
1365,greenhouse,7159419,https://job-boards.greenhouse.io/appier/jobs/7159419,,,"AI Investment Partner (Sr Director), Taiwan","Appier is a technology company which aims to provide artificial intelligence platforms to help enterprises solve their most challenging business problems. Appier was established in 2012 by a passionate team of computer scientists and engineers with expertise in AI, data analysis, distributed systems, and marketing. About the Role: We are looking for a highly strategic, entrepreneurial, and impact-driven Investment Partner to join Appier's Strategy Team. This high-impact leadership role is responsible for driving Appier's strategic investments in early-stage startups (Seed to Series A), focusin",other,other,senior,,remote,,,,,,other,management,,,1,master,,strategic_thinking;entrepreneurial_mindset;impact-driven_leadership,onsite,TW,,full_time,director,,,,,,artificial_intelligence_platforms;data_analysis_tools,,in_review,"The role family and seniority are inferred based on the title, but more details would be needed to confirm. | manual_queue_needs_manual_rule: add canonical rule; finance/investment leadership role",ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
254,greenhouse,8021088002,https://job-boards.greenhouse.io/gomotive/jobs/8021088002,,,Technical Support Eng- MM/CMRL,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",it_support_specialist,it_operations,senior,,remote,,US,,,,it_support_specialist,it_operations,,,1,bachelor,,,remote,US,,full_time,senior,,,,,,technical_support;ai;fleet_management_system,,in_review,manual_queue_reject: use pred it_support_specialist; gold_after is nonstandard variant,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
508,greenhouse,3137607,https://job-boards.greenhouse.io/canonical/jobs/3137607,,,Talent Scientist,"As a pioneer remote-first tech company with a product that inspires people globally, we attract a huge number of applicants to our organisation. We have created a hiring process that is totally unique empowering our business based Hiring Leadership team to lead talent selection. Our Talent Science team ensures that our processes are effective and that the business is able to make the best decisions to select exceptional talent. This is an exceptional opportunity to join a team that is changing the way an organisation hires.&nbsp; Our Talent Science team has a mission to ensure that we follow o",talent_analytics_specialist,hr,senior,,remote,,,,,,talent_analytics_specialist,,,,1,master,,communication;problem_solving,remote,,,full_time,senior,,,,,,data_analysis;machine_learning;python;r,,in_review,Role family and specific location details are inferred based on the title and description. | rule_review: missing_role_family | manual_queue_accept: canonical title ok; fill gold_role_family from pred hr,ollama,qwen2.5:7b,0.850,1,missing_role_family|location_without_country,missing_role_family,1
4,greenhouse,4501664005,https://job-boards.greenhouse.io/found/jobs/4501664005,,,Telehealth Provider (MD & DO),"Found is transforming personalized weight care with an evidence-based platform that combines modern medicine, behavior change support, personalized coaching, and a supportive community. Since launching in 2019, Found has served over 250,000 patients across the U.S., making high-quality, affordable treatment more accessible while reducing healthcare costs for consumers, employers, and payors. Backed by $130M+ from top investors including Atomic, GV, WestCap, IVP, TCG, and Define Ventures, Found is redefining how personalized weight care is delivered at scale. Pippen Health, the virtual medicine",healthcare_provider,healthcare,,contract,remote,,,140,180,USD,healthcare_provider,healthcare,,,0,unspecified,,,remote,US,,contract,unspecified,,140,180,USD,hourly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.950,1,uncategorized_review,uncategorized_review,0
1032,greenhouse,7456130,https://job-boards.greenhouse.io/webflow/jobs/7456130,,,Senior Brand Designer,"At Webflow, we’re building the world’s leading AI-native Digital Experience Platform, and we’re doing it as a remote-first company built on trust, transparency, and a whole lot of creativity. This work takes grit, because we move fast, without ever sacrificing craft or quality. Our mission is to bring development superpowers to everyone. From entrepreneurs launching their first idea to global enterprises scaling their digital presence, we empower teams to design, launch, and optimize for the web without barriers. We believe the future of the web, and work, is more open, more creative, and more",other,other,senior,full_time,remote,,US,,,,other,design,,,1,bachelor,,,remote,US,,full_time,senior,,,,,,,,in_review,manual_queue_needs_manual_rule: add brand_designer canonical title,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
445,greenhouse,5920689,https://job-boards.greenhouse.io/canonical/jobs/5920689,,,Senior Jira Administrator,"Canonical is a leading provider of open-source software and operating systems for global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in more than 80 countries and very few office-based roles. Teams meet two to four times yearly in person, in interesting lo",other,other,senior,,remote,,,,,,other,other,,,1,unspecified,,,remote,,,,senior,,,,,,jira,,in_review,manual_queue_needs_manual_rule: add jira_administrator or map to systems_administrator,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,1
539,greenhouse,5150422,https://job-boards.greenhouse.io/canonical/jobs/5150422,,,"Web Frontend Engineer - JS, CSS, React, Flutter","Canonical is a leading provider of open-source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of globally distributed collaboration, with 1100+ colleagues in 75+ countries and very few office-based roles. Teams meet two to four times yearly in person, in interesting locati",frontend_engineer,frontend,,,remote,,,,,,frontend_engineer,frontend,,,0,,,,,,,,,,,,,,js;css;react;flutter,,in_review,rule_review: too_many_core_fields_missing,ollama,qwen2.5:7b,0.850,1,too_many_core_fields_missing,too_many_core_fields_missing,3
520,greenhouse,7606934,https://job-boards.greenhouse.io/canonical/jobs/7606934,,,Treasury Analyst,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. We are also a pioneer of global distributed collaboration, with 1000+ colleagues in 70+ countries and very few roles based in offices. Teams meet two to four times yearly in person, in interesting locatio",other,other,senior,,remote,,,,,,other,,,,0,,,,,,,,,,,,,,,,in_review,"The normalized title and role family do not match the provided description. The seniority, employment type, location, country, salary details, and other fields are missing or unclear. | rule_review: missing_role_family,too_many_core_fields_missing | manual_queue_needs_manual_rule: add treasury_analyst canonical title",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,4
188,greenhouse,5476318002,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,,,Interested in joining our team?,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",general_application,recruiting,,,remote,,,,,,general_application,,,,0,,,,remote,,,,unspecified,,,,,,,,in_review,"Title and role family are not specified in the description, experience and employment type are missing, salary details are unavailable. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing | manual_queue_reject: use pred general_application",ollama,qwen2.5:7b,0.250,1,low_confidence|missing_role_family|location_without_country,low_confidence,2
820,greenhouse,5811263004,https://job-boards.greenhouse.io/grafanalabs/jobs/5811263004,,,Senior Product Counsel | United States | Remote,"Grafana Labs is a remote-first, open-source powerhouse. There are more than 20M users of Grafana, the open source visualization tool, around the globe, monitoring everything from beehives to climate change in the Alps. The instantly recognizable dashboards have been spotted everywhere from a NASA launch and Minecraft HQ to Wimbledon and the Tour de France. Grafana Labs also helps more than 3,000 companies -- including Bloomberg, JPMorgan Chase, and eBay -- manage their observability strategies with the Grafana LGTM Stack, which can be run fully managed with Grafana Cloud or self-managed with t",legal_counsel,legal,senior,,remote,,US,229462,275355,USD,legal_counsel,legal,,,1,unspecified,,,remote,US,,,senior,,229462,275355,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,1
