job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
227,greenhouse,8365243002,https://job-boards.greenhouse.io/gomotive/jobs/8365243002,gomotive,Senior Role Readiness Specialist,Senior Role Readiness Specialist,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",customer_success_manager,customer_success,senior,,,Pakistan - Lahore,,,,,Senior Role Readiness Specialist,,,,1,,,,,PK,Lahore,,senior,,,,,,,,in_review,Title normalization and role family are uncertain.,ollama,qwen2.5:7b,0.650,1,missing_role_family|too_many_core_fields_missing,missing_role_family,3
971,greenhouse,7531355,https://job-boards.greenhouse.io/gofundme/jobs/7531355,gofundme,Senior Paid Media Manager,Senior Paid Media Manager,"Want to help us help others? We’re hiring!&nbsp; GoFundMe is the world’s most powerful community for good, dedicated to helping people help each other. By uniting individuals and nonprofits in one place, GoFundMe makes it easy and safe for people to ask for help and support causes—for themselves and each other. Together, our community has raised more than $40 billion since 2010. Join us! The GoFundMe team is searching for a Senior Paid Media Manager to drive global consumer growth through strategic, data-informed, and creative paid media execution. You’ll be a player-coach who combines analyti",manager,operations,senior,full_time,hybrid,Remote,,118500,177500,USD,Senior Paid Media Manager,,,,1,,,,remote,,,full_time,senior,,118500,177500,USD,,,,in_review,"rule_review: missing_role_family,location_without_country,salary_without_period",ollama,qwen2.5:7b,0.920,1,missing_role_family|location_without_country|salary_without_period,missing_role_family,1
1772,greenhouse,7533898,https://job-boards.greenhouse.io/capco/jobs/7533898,capco,Managing Principal (Director) - Non-Financial Risk Specialist (Operational Risk - Enterprise Risk),Managing Principal (Director) - Non-Financial Risk Specialist (Operational Risk - Enterprise Risk),"&nbsp; Managing Principal – Non-Financial Risk Specialist (Operational Risk – Enterprise Risk) Location: London or Scotland (Hybrid) | Practice Area: Financial Crime, Risk, Regulation, Finance Transformation | Type: Permanent Lead Meaningful Change in Enterprise and Operational Risk The Role Capco is seeking a Managing Principal with deep expertise in Non-Financial Risk to support the continued growth of our FRRF capability. You’ll lead impactful engagements with major financial institutions, delivering transformative advisory services across operational and enterprise risk. Acting as a strate",consultant,consulting,principal,,hybrid,UK - London,,,,,Managing Principal (Director) - Non-Financial Risk Specialist (Operational Risk - Enterprise Risk),,,,1,master,,,hybrid,GB,London or Scotland,unspecified,director,,,,,,,,in_review,The role family and specific experience years are not clearly stated in the description. | rule_review: missing_role_family,ollama,qwen2.5:7b,0.650,1,missing_role_family,missing_role_family,1
1341,greenhouse,7342995,https://job-boards.greenhouse.io/thumbtack/jobs/7342995,thumbtack,Senior Accounts Payable Associate,Senior Accounts Payable Associate,"Thumbtack helps millions of people confidently care for their homes. Thumbtack is the one app you need to take care of and improve your home — from personalized guidance to AI tools and a best-in-class hiring experience. Every day in every county of the U.S., people turn to Thumbtack to complete urgent repairs, seasonal maintenance and bigger improvements. We help homeowners know which projects to do, when to do them and who to hire from our growing community of 300,000 local service businesses. If making an impact inspires you, join us. Imagine what we’ll build together. About the Accounting ",other,other,associate,,remote,Remote,,,,,Senior Accounts Payable Associate,,5,,1,bachelor,,,remote,US,,full_time,senior,,,,,,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
1829,greenhouse,7657541,https://job-boards.greenhouse.io/capco/jobs/7657541,capco,Programme Manager - Banking & Payments,Programme Manager - Banking & Payments,"&nbsp; Programme Manager – Banking &amp; Payments Location: London (Hybrid) | Practice Area : Banking &amp; Payments | Type: Permanent Lead complex transformation across Banking &amp; Payments, combining deep domain expertise with structured programme leadership. The Role Capco is seeking a highly experienced Programme Manager to join our Banking &amp; Payments practice in London. You will lead large-scale transformation programmes across retail banking, corporate banking, and payments organisations — spanning digital banking, core modernisation, regulatory change, and payments innovation. You",manager,operations,senior,,hybrid,UK - London,,,,,Programme Manager - Banking & Payments,,,,1,unspecified,,,hybrid,GB,London,unspecified,senior,,,,,,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
425,greenhouse,5830044,https://job-boards.greenhouse.io/canonical/jobs/5830044,canonical,Revenue Accounting Manager,Revenue Accounting Manager,"&nbsp; Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office-based roles. Teams meet two to four times yearly in person, in interesting ",manager,operations,lead,contract,remote,Home based - EMEA,,,,,Revenue Accounting Manager,,,,1,bachelor,,,remote,,Home based - EMEA,contract,lead,,,,,,,,in_review,"rule_review: missing_role_family,location_without_country",ollama,qwen2.5:7b,0.850,1,missing_role_family|location_without_country,missing_role_family,1
1979,greenhouse,5511938,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/5511938,mavensecuritiesholdingltd,Associate Portfolio Manager,Associate Portfolio Manager,"Maven’s Systematic Alpha group is looking for outstanding portfolio managers to join its global expansion. The team deploys methodically researched strategies across futures, options and equities. Our approach to trading is scientific and process driven, with a strong emphasis on a flexible research environment, providing us efficient means to develop, test, and deploy new ideas.&nbsp; The Role:&nbsp; An excellent opportunity to r esearch, develop and implement systematic strategies in listed instruments such as futures or FX . Full ownership of the life-cycle of trade/strategy ideas; monitor ",manager,operations,associate,,,London,,,,,Manager,,,,1,master,,,onsite,GB,London,full_time,unspecified,,,,,,,,in_review,"The role is likely for a manager position, but the exact seniority level and other details are not explicitly stated. | rule_review: missing_role_family",ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
1820,greenhouse,7349051,https://job-boards.greenhouse.io/capco/jobs/7349051,capco,Product / Domain Lead (AI + Banking domain) – Toronto - Hybrid,Product / Domain Lead (AI + Banking domain) – Toronto - Hybrid,"Product / Domain Lead (AI + Banking domain) – Toronto - Hybrid &nbsp; Capco – The Future. Now. Capco is a distinctly and positively different place to work. Much more than consultants, we are active participants in the global financial services industry. Our passionate business and technology professionals enjoy a unique environment where they are actively encouraged to apply intellect, innovation, experience and teamwork. We ware dedicated to fully supporting our world class clients as they respond to challenges and opportunities in: Banking &amp; Payments, Capital Markets, Insurance, Wealth ",other,other,lead,,hybrid,Canada - Toronto,,118000,135000,USD,Product / Domain Lead (AI + Banking domain) – Toronto - Hybrid,,,,1,,,,hybrid,CA,Toronto,full_time,lead,,118000,135000,USD,,,,in_review,"rule_review: missing_role_family,salary_without_period",ollama,qwen2.5:7b,0.750,1,missing_role_family|salary_without_period,missing_role_family,1
1157,greenhouse,6268607003,https://job-boards.greenhouse.io/celonis/jobs/6268607003?gh_jid=6268607003,celonis,"Manager, Cloud Security","Manager, Cloud Security","We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: Within our InfoSec organization, Our global security engineering team is responsible for designing, building, and enhancing the underlying security components that help with securing the Celonis Application and Platforms stacks. We think about both offensively and defensively. We co",manager,operations,lead,full_time,hybrid,New York,,,,,"Manager, Cloud Security",,,,1,bachelor,,,hybrid,US,New York,full_time,lead,,,,,,cloud_security,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
18,greenhouse,7562427,https://job-boards.greenhouse.io/omadahealth/jobs/7562427,omadahealth,Senior Member Growth Manager,Senior Member Growth Manager,"Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview Omada’s Member Growth team is focused on the first part of Omada’s mission – to inspire people everywhere to take the first step toward lasting, healthy change. We understand our audience, know what makes Omada different, connect these two things to tell a great story, then measure and optimize its success.&nbsp; Role Overview As a Senior Member Growth Manager, you will lead our consumer enrollment initiatives, focusing on driving program adoption across various industries",manager,operations,senior,,remote,Remote,,128800,161000,USD,Manager,,5,10,1,bachelor,,communication;leadership,remote,,Remote,full_time,senior,,128800,161000,USD,yearly,,,in_review,"rule_review: missing_role_family,location_without_country",ollama,qwen2.5:7b,0.750,1,missing_role_family|location_without_country,missing_role_family,1
