job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
520,greenhouse,7606934,https://job-boards.greenhouse.io/canonical/jobs/7606934,,,Treasury Analyst,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. We are also a pioneer of global distributed collaboration, with 1000+ colleagues in 70+ countries and very few roles based in offices. Teams meet two to four times yearly in person, in interesting locatio",other,other,senior,,remote,,,,,,other,,,,0,,,,,,,,,,,,,,,,in_review,"The normalized title and role family do not match the provided description. The seniority, employment type, location, country, salary details, and other fields are missing or unclear. | rule_review: missing_role_family,too_many_core_fields_missing | manual_queue_needs_manual_rule: add treasury_analyst canonical title",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,4
188,greenhouse,5476318002,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,,,Interested in joining our team?,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",general_application,recruiting,,,remote,,,,,,general_application,,,,0,,,,remote,,,,unspecified,,,,,,,,in_review,"Title and role family are not specified in the description, experience and employment type are missing, salary details are unavailable. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing | manual_queue_reject: use pred general_application",ollama,qwen2.5:7b,0.250,1,low_confidence|missing_role_family|location_without_country,low_confidence,2
512,greenhouse,4541445,https://job-boards.greenhouse.io/canonical/jobs/4541445,,,Technical Manager - Automotive and Industrial,"We have created a role for a Technical Manager, Automotive and Industrial with a passion for open source and precision engineering. Today, Canonical is providing secure and reliable products to our industrial and automotive partners. Our solutions are bridging the gap between Open-Source innovation and industry specific requirements represented by stringent certification processes. Our goal is to enable industries such as automotive to leverage our open source portfolio. From the factory to the cloud by way of the car, we are committed to providing the most secure and advanced platform for aut",manager,operations,senior,,remote,,,,,,manager,,,,1,unspecified,,,,,,,senior,,,,,,open_source;precision_engineering,,in_review,"Role family and employment type are unknown. | rule_review: missing_role_family,too_many_core_fields_missing | manual_queue_accept: canonical title acceptable; fill gold_role_family from pred operations",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_role_family|too_many_core_fields_missing,low_confidence,3
278,greenhouse,5915936,https://job-boards.greenhouse.io/canonical/jobs/5915936,,,Cloud Solutions Architect - Alliances,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1000+ colleagues in 70+ countries and very few roles based in offices. Teams meet two to four times yearly in person, in interesting loca",solutions_architect,architecture,,,remote,,,,,,solutions_architect,architecture,,,0,,,,,,,,,,,,,,,,in_review,"Seniority, employment type, location type, and other details are missing. | rule_review: too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|too_many_core_fields_missing,low_confidence,3
189,greenhouse,5466892002,https://job-boards.greenhouse.io/gomotive/jobs/5466892002,,,Interested in joining our team?,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",general_application,recruiting,,,remote,,US,,,,general_application,,,,0,,,,remote,US,,,,,,,,,ai,,in_review,"Title and role family are not specified, experience and employment type are missing, salary details are unknown. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing | manual_queue_reject: use pred general_application",ollama,qwen2.5:7b,0.450,1,low_confidence|missing_role_family|too_many_core_fields_missing,low_confidence,3
1008,greenhouse,7287511,https://job-boards.greenhouse.io/webflow/jobs/7287511,,,"Director of Product, Infrastructure and Developer Productivity","At Webflow, we’re building the world’s leading AI-native Digital Experience Platform, and we’re doing it as a remote-first company built on trust, transparency, and a whole lot of creativity. This work takes grit, because we move fast, without ever sacrificing craft or quality. Our mission is to bring development superpowers to everyone. From entrepreneurs launching their first idea to global enterprises scaling their digital presence, we empower teams to design, launch, and optimize for the web without barriers. We believe the future of the web, and work, is more open, more creative, and more",software_engineer,software_engineering,senior,full_time,remote,,US,,,,software_engineer,management,,,1,master,,,remote,US,,full_time,senior,,,,,,,,in_review,"The predicted title and role family do not match the gold standard. The description suggests a management position, but the prediction is for a software engineer.",ollama,qwen2.5:7b,0.250,1,low_confidence,low_confidence,0
534,greenhouse,7043028,https://job-boards.greenhouse.io/canonical/jobs/7043028,,,UX Designer - Design systems,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",product_designer,design,,,remote,,,,,,product_designer,design,,,0,,,,,,,,,,,,,,,,in_review,"Title normalization and role family are correct, but other fields lack information. | rule_review: too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|too_many_core_fields_missing,low_confidence,3
913,greenhouse,5815347004,https://job-boards.greenhouse.io/correlationone/jobs/5815347004,,,Learning Designer,"Correlation One develops the workforce’s skills for the AI economy Enterprises and governments work with us to develop talent and close critical data, digital, and technology skills gaps. Our global programs, including training programs and data competitions, also empower underrepresented communities and accelerate careers. Our mission is to create equal access to the data-driven jobs of the future. We partner with top employers and government organizations to make that a reality, including Amazon, Coca-Cola, Johnson &amp; Johnson, the U.S. State Department, and the U.S. Department of Defense.",content_designer,design,,,remote,,US,,,,content_designer,design,,,0,unspecified,,,remote,US,,full_time,junior,,,,,,,,in_review,Confidence is below threshold and seniority level is ambiguous.,ollama,qwen2.5:7b,0.620,1,low_confidence,low_confidence,0
1745,greenhouse,7464308,https://job-boards.greenhouse.io/capco/jobs/7464308,,,Linux & Data Platform Administrator,"Joining Capco means joining an organisation that is committed to an inclusive working environment where you’re encouraged to #BeYourselfAtWork. We celebrate individuality and recognize that diversity and inclusion, in all forms, is critical to success. It’s important to us that we recruit and develop as diverse a range of talent as we can and we believe that everyone brings something different to the table – so we’d love to know what makes you different. Such differences may mean we need to make changes to our process to allow you the best possible platform to succeed, and we are happy to cate",data_analyst,data_analytics,senior,,hybrid,Italy - Milan,IT,,,,data_analyst,,,,0,,,,,IT,Milan,,,,,,,,linux;data_platform,,in_review,"Title does not match the prediction; role family and seniority are unknown. | rule_review: missing_role_family,too_many_core_fields_missing | manual_queue_needs_manual_rule: pred data_analyst is wrong; add platform/systems administrator rule",ollama,qwen2.5:7b,0.250,1,low_confidence|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,4
912,greenhouse,5815345004,https://job-boards.greenhouse.io/correlationone/jobs/5815345004,,,Learning Designer,"Correlation One develops the workforce’s skills for the AI economy Enterprises and governments work with us to develop talent and close critical data, digital, and technology skills gaps. Our global programs, including training programs and data competitions, also empower underrepresented communities and accelerate careers. Our mission is to create equal access to the data-driven jobs of the future. We partner with top employers and government organizations to make that a reality, including Amazon, Coca-Cola, Johnson &amp; Johnson, the U.S. State Department, and the U.S. Department of Defense.",content_designer,design,,,remote,,US,,,,content_designer,design,,,0,unspecified,,,remote,US,,full_time,junior,,,,,,,,in_review,Confidence is below threshold and seniority level is ambiguous.,ollama,qwen2.5:7b,0.620,1,low_confidence,low_confidence,0
