job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,suggested_normalized_title,suggested_role_family,review_categories,primary_review_category,missing_core_count
1443,greenhouse,6547632,https://job-boards.greenhouse.io/appier/jobs/6547632,appier,Technical Service Engineer (Greater China Region),Technical Service Engineer (Greater China Region),"About Appier&nbsp; Appier is a software-as-a-service (SaaS) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s mission is turning AI into ROI by making software intelligent. Appier now has 17 offices across APAC, Europe and U.S., and is listed on the Tokyo Stock Exchange (Ticker number: 4180).&nbsp;Visit&nbsp; www.appier.com &nbsp;for more information.. About the role As an Appier Technical Service Engineer (Greater China Region) , your primary responsibility is to assist clients in integrating Appier AI",software_engineer,software_engineering,,,,Taipei,TW,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The term 'Technical Service Engineer' does not strongly align with the predicted role family of 'software_engineering'. The region specification (Greater China Region) might be causing ambiguity. | suggested_title=service_engineer;suggested_role_family=technical_support,ollama,qwen2.5:7b,0.200,1,service_engineer,technical_support,low_confidence|too_many_core_fields_missing,low_confidence,3
1732,greenhouse,7427269,https://job-boards.greenhouse.io/capco/jobs/7427269,capco,LD Ops,LD Ops,"&nbsp; Job Title: Operations&nbsp; About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the &nbsp;British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar &amp; Seramount . With our presence across 32 cities across globe, we support 100+ clients across&nbsp;banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery.&nbsp; WHY JOIN CAPCO? You will work on engaging projects with the largest international and local banks, insurance comp",other,other,,,,India - Bengaluru,IN,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,"Ambiguous title, could refer to various operational roles. | suggested_title=lead_operations;suggested_role_family=management",ollama,qwen2.5:7b,0.500,1,lead_operations,management,low_confidence|too_many_core_fields_missing,low_confidence,3
1378,greenhouse,6958296,https://job-boards.greenhouse.io/appier/jobs/6958296,appier,HR Employee Experience Senior Manager / Associate Director,HR Employee Experience Senior Manager / Associate Director,"Overview: We are seeking an experienced and dynamic HR Senior Manager/ Associate Director to lead our HR Employee Experience team with a focus on efficiency, effectiveness, and exceptional employee experience delivery. The ideal candidate will possess a strong background in HR problem solving / consulting, HR Shared Service Center management, HRIS management, and a proven track record in driving HR process improvement initiatives. This role requires excellent leadership and communication skills, strategic thinking, and the ability to collaborate with cross-functional teams to deliver HR soluti",manager,operations,associate,,,Taipei,TW,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,"The title suggests a focus on employee experience, which is more aligned with human resources or customer service roles rather than operations. | suggested_title=hr_manager;suggested_role_family=human_resources",ollama,qwen2.5:7b,0.250,1,hr_manager,human_resources,low_confidence|too_many_core_fields_missing,low_confidence,3
377,greenhouse,6177790,https://job-boards.greenhouse.io/canonical/jobs/6177790,canonical,MAAS Data Center Infrastructure Engineer (Toronto area),MAAS Data Center Infrastructure Engineer (Toronto area),"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1100+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",analytics_engineer,data_analytics,,,hybrid,Toronto,CA,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,"The title does not match 'analytics_engineer' or 'data_analytics'. It seems to be related to data center infrastructure, which is more aligned with engineering roles. | suggested_title=data_center_infrastructure_engineer;suggested_role_family=engineering",ollama,qwen2.5:7b,0.100,1,data_center_infrastructure_engineer,engineering,low_confidence|too_many_core_fields_missing,low_confidence,3
1188,greenhouse,7547001003,https://job-boards.greenhouse.io/celonis/jobs/7547001003?gh_jid=7547001003,celonis,Procurement Manager - Marketing,Procurement Manager - Marketing,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: Reporting to our Global Head of Procurement you will work closely with various internal stakeholders and global leadership across the board to develop long-term procurement strategies. You will be part of an experienced and ambitious global procurement team. Despite the different ti",marketing_specialist,marketing,senior,,hybrid,Madrid,ES,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,"The title suggests a focus on procurement, which does not align with the predicted role family of marketing. | suggested_title=procurement_specialist;suggested_role_family=procurement",ollama,qwen2.5:7b,0.200,1,procurement_specialist,procurement,low_confidence|too_many_core_fields_missing,low_confidence,3
726,greenhouse,4448955005,https://job-boards.greenhouse.io/gleanwork/jobs/4448955005,gleanwork,Technical Support Engineer,Technical Support Engineer,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",it_support_specialist,it_operations,junior,,,Nashville,TN,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,suggested_title=it_support_specialist;suggested_role_family=it_operations,ollama,qwen2.5:7b,0.800,1,it_support_specialist,it_operations,too_many_core_fields_missing,too_many_core_fields_missing,3
1125,greenhouse,6659660003,https://job-boards.greenhouse.io/celonis/jobs/6659660003?gh_jid=6659660003,celonis,Finance Business Partner,Finance Business Partner,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The GTM Finance Business Partner organization is a critical team within Celonis. The team operates in a highly visible environment to executive leadership and is a key player in setting Celonis's strategic &amp; financial objectives. The goals and objective our the GTM FInance Busin",accountant,finance,senior,,hybrid,Madrid,ES,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The term 'Finance Business Partner' is more specific and may not directly map to the generic role of 'accountant'. Further context would be needed to confirm. | suggested_title=finance_business_partner;suggested_role_family=finance,ollama,qwen2.5:7b,0.700,1,finance_business_partner,finance,too_many_core_fields_missing,too_many_core_fields_missing,3
536,greenhouse,6072086,https://job-boards.greenhouse.io/canonical/jobs/6072086,canonical,UX Designer - Infrastructure,UX Designer - Infrastructure,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",product_designer,design,manager,,remote,,,,,,other,design,,,,,,,,,,,,,,,,,,,in_review,suggested_title=product_designer;suggested_role_family=design,ollama,qwen2.5:7b,0.800,1,product_designer,design,too_many_core_fields_missing,too_many_core_fields_missing,3
1915,greenhouse,7456452,https://job-boards.greenhouse.io/capco/jobs/7456452,capco,Senior Full Stack Developer - COM INGLÊS - Remoto,Senior Full Stack Developer - COM INGLÊS - Remoto,"A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros e energia, somos apaixonados por ajudar nossos clientes, temos 40 escritórios nas Américas, Europa e Ásia-Pacífico! Se criatividade e inovação são sua paixão, a Capco é ideal para você. Vamos te apoiar e ajudar a acelerar sua carreira! Estamos em busca de um(a) Desenvolvedor(a) Full Stack apaixonado(a) por tecnologia e inovação, com interesse em atuar em projetos que envolvam Inteligência Artificial. O profissional será responsável pelo desenvolvimento de aplicações web completas — frontend e bac",fullstack_engineer,fullstack,senior,,,Brazil - Sao Paulo,BR,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,suggested_title=full_stack_engineer;suggested_role_family=full_stack,ollama,qwen2.5:7b,0.900,1,full_stack_engineer,full_stack,too_many_core_fields_missing,too_many_core_fields_missing,3
1316,greenhouse,7618766003,https://job-boards.greenhouse.io/celonis/jobs/7618766003?gh_jid=7618766003,celonis,Summernaut Program - Legal Summer Intern,Summernaut Program - Legal Summer Intern,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The Celonis Legal team is an energetic and proactive group of experts in their field, focused on identifying, avoiding, mitigating and solving challenges within the Celonis business. We sit at the heart of the Celonis organization and are proud to be seen as valued business partners",legal_counsel,legal,intern,full_time,hybrid,Raleigh,US,,,,other,legal,,,,,,,,,,,,,,,,,,,in_review,suggested_title=legal_counsel;suggested_role_family=legal,ollama,qwen2.5:7b,0.800,1,legal_counsel,legal,too_many_core_fields_missing,too_many_core_fields_missing,3
