job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,suggested_normalized_title,suggested_role_family,country_issue
202,greenhouse,7579408002,https://job-boards.greenhouse.io/gomotive/jobs/7579408002,gomotive,"Regional Director, Account Management","Regional Director, Account Management","Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",account_manager,sales,senior,,remote,Islamabad & Lahore,US,,,,account_manager,sales,,,1,bachelor,,,remote,US,Islamabad & Lahore,,senior,,,,,,,,approved,,ollama,qwen2.5:7b,0.850,0,,,city_country_mismatch_us_foreign_city_token
1593,greenhouse,6368594,https://job-boards.greenhouse.io/capco/jobs/6368594,capco,Business Analyst/Senior Business Analyst (Banking),Business Analyst/Senior Business Analyst (Banking),"Company Overview Capco is an entrepreneurial consulting business with expertise in transformation, technology, and strategy. We specialize in banking and payment; capital markets; wealth &amp; investment management; finance, risk &amp; compliance; and technology, serving our clients from offices in leading financial centers across US, Europe and APAC. We are expanding our business rapidly across Asia (especially Malaysia). You will work on engaging projects with some of the largest banking and insurance clients in the world, projects that will deliver significant transformation and change. Bes",business_analyst,business_analysis,junior,,,Malaysia - Kuala Lumpur,,,,,business_analyst,business_analysis,,5,1,bachelor,,,onsite,,Kuala Lumpur,full_time,unspecified,,,,,,,,approved,,ollama,qwen2.5:7b,0.850,0,,,onsite_or_hybrid_without_country
1568,greenhouse,7653230,https://job-boards.greenhouse.io/capco/jobs/7653230,capco,Business Analyst Banking & Payments,Business Analyst Banking & Payments,"Capco – Shape the Future of Finance With Us &nbsp; At Capco, we are not just consultants – we are pioneers and partners in transforming the global financial services industry . We embrace uniqueness and foster a collaborative culture where innovation, intellect, and ambition thrive . Whether it's navigating the challenges of Banking, Capital Markets, Finance Risk &amp; Compliance, Insurance , or Wealth and Investment Management , our business and technology professionals are committed to making a tangible impact for our clients. Experience what it’s like to work for a company that values bold ",business_analyst,business_analysis,senior,,hybrid,Belgium - Brussels,,,,,business_analyst,business_analysis,,,1,bachelor,,,onsite,,Brussels,full_time,senior,,,,,,,,approved,,ollama,qwen2.5:7b,0.850,0,,,onsite_or_hybrid_without_country
1370,greenhouse,7562958,https://job-boards.greenhouse.io/appier/jobs/7562958,appier,Customer Success Manager(Enterprise),Customer Success Manager(Enterprise),"About Appier &nbsp; Appier (TSE: 4180) is an&nbsp; AI-native Agentic AI as a Service (AssA) company &nbsp;that empowers businesses to create value through cutting-edge AdTech and MarTech solutions. Founded in 2012 with the vision of&nbsp;“Making AI Easy by Making Software Intelligent,”&nbsp;Appier helps businesses turn AI into ROI through its Ad Cloud, Personalization Cloud, and Data Cloud—each powered by Agentic AI that enables autonomous, adaptive, and real-time decision-making. Today, Appier operates 17 offices across APAC, the US, and EMEA, and is listed on the Tokyo Stock Exchange. Learn ",customer_success_manager,customer_success,manager,,hybrid,Tokyo,,,,,customer_success_manager,customer_success,,,1,unspecified,,,onsite,,Tokyo,full_time,manager,,,,,,,,approved,"The location type is inferred as onsite based on the company's headquarters in Tokyo, and seniority level is explicitly stated.",ollama,qwen2.5:7b,0.850,0,,,onsite_or_hybrid_without_country
1408,greenhouse,7525287,https://job-boards.greenhouse.io/appier/jobs/7525287,appier,Senior Machine Learning Scientist - Tokyo,Senior Machine Learning Scientist - Tokyo,"About Appier&nbsp; Appier is an AI-native Agentic AI as a Service (AssA) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s mission is turning AI into ROI by making software intelligent. Appier now has 17 offices across APAC, Europe and U.S., and is listed on the Tokyo Stock Exchange (Ticker number: 4180). Visit www.appier.com for more information. The Impact You’ll Make at Appier Appier is seeking a&nbsp; Senior Machine Learning Scientist &nbsp;to join our&nbsp; Advertising Cloud Optimization team , whi",ml_scientist,machine_learning,senior,,,Tokyo,,,,,ml_scientist,machine_learning,,,1,master,,,onsite,,Tokyo,full_time,senior,,,,,,,,approved,,ollama,qwen2.5:7b,0.850,0,,,onsite_or_hybrid_without_country
623,greenhouse,4501783005,https://job-boards.greenhouse.io/gleanwork/jobs/4501783005,gleanwork,"Machine Learning Engineer, Infrastructure","Machine Learning Engineer, Infrastructure","About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",ml_engineer,machine_learning,junior,,hybrid,San Francisco Bay Area,,175000,270000,USD,ml_engineer,machine_learning,,,0,unspecified,,,hybrid,,San Francisco Bay Area,,junior,,175000,270000,USD,yearly,,,approved,,ollama,qwen2.5:7b,0.850,0,,,onsite_or_hybrid_without_country
191,greenhouse,8387634002,https://job-boards.greenhouse.io/gomotive/jobs/8387634002,gomotive,"Manager, of Customer Success Mexico","Manager, of Customer Success Mexico","Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",customer_success_manager,customer_success,senior,,hybrid,Mexico City,,,,,customer_success_manager,customer_success,,,1,bachelor,,,onsite,,Mexico City,full_time,senior,,,,,,,,approved,,ollama,qwen2.5:7b,0.850,0,,,onsite_or_hybrid_without_country
619,greenhouse,4654833005,https://job-boards.greenhouse.io/gleanwork/jobs/4654833005,gleanwork,Lead Site Reliability Engineer,Lead Site Reliability Engineer,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",site_reliability_engineer,sre,senior,,hybrid,Palo Alto,,200000,260000,USD,site_reliability_engineer,sre,,,1,unspecified,,,hybrid,,Palo Alto,full_time,senior,,200000,260000,USD,yearly,,,approved,,ollama,qwen2.5:7b,0.850,0,,,onsite_or_hybrid_without_country
1737,greenhouse,7653275,https://job-boards.greenhouse.io/capco/jobs/7653275,capco,Lead Delivery Consultant,Lead Delivery Consultant,"Lead Delivery Consultant – Financial Services Transformation &nbsp; At Capco , we partner with top institutions in financial services to deliver substantial and meaningful change. With a focus on forward-thinking innovation, exceptional delivery, and client-centric solutions, we help organizations adapt to evolving markets and challenges across Banking, Asset Management, and Capital Markets. We are seeking an experienced Lead Delivery Consultant to drive transformational initiatives spanning Trading &amp; Custody , Post-Settlement , and Asset Management &amp; Distribution services. This role i",consultant,consulting,senior,,hybrid,Belgium - Brussels,,,,,consultant,consulting,,,1,master,,,onsite,,Brussels,full_time,senior,,,,,,,,approved,,ollama,qwen2.5:7b,0.850,0,,,onsite_or_hybrid_without_country
1414,greenhouse,7382873,https://job-boards.greenhouse.io/appier/jobs/7382873,appier,"Senior Software Engineer (Ad Cloud Bidding) - Tokyo,Japan","Senior Software Engineer (Ad Cloud Bidding) - Tokyo,Japan","About Appier&nbsp; Appier is an AI-native Agentic AI as a Service (AssA) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s mission is turning AI into ROI by making software intelligent. Appier now has 17 offices across APAC, Europe and U.S., and is listed on the Tokyo Stock Exchange (Ticker number: 4180). Visit&nbsp; www.appier.com for more information. About the role Software engineers (Ad Cloud Bidding) at Appier Tokyo office build a wide range of platforms and services that interconnect data and AI w",software_engineer,software_engineering,senior,,hybrid,Tokyo,US,,,,software_engineer,software_engineering,,,1,unspecified,,,onsite,US,Tokyo,full_time,senior,,,,,,,,approved,"Location is specified as Tokyo, Japan, not US.",ollama,qwen2.5:7b,0.850,0,,,city_country_mismatch_us_foreign_city_token
