job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
1732,greenhouse,7427269,https://job-boards.greenhouse.io/capco/jobs/7427269,capco,LD Ops,LD Ops,"&nbsp; Job Title: Operations&nbsp; About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the &nbsp;British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar &amp; Seramount . With our presence across 32 cities across globe, we support 100+ clients across&nbsp;banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery.&nbsp; WHY JOIN CAPCO? You will work on engaging projects with the largest international and local banks, insurance comp",other,other,,,,India - Bengaluru,,,,,Operations,other,,,0,unspecified,,,onsite,IN,Bengaluru,full_time,unspecified,,,,,,,,in_review,Title and role family are not accurately identified; salary details are missing.,ollama,qwen2.5:7b,0.550,1,low_confidence,low_confidence,0
377,greenhouse,6177790,https://job-boards.greenhouse.io/canonical/jobs/6177790,canonical,MAAS Data Center Infrastructure Engineer (Toronto area),MAAS Data Center Infrastructure Engineer (Toronto area),"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1100+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",analytics_engineer,data_analytics,,,hybrid,Office Based - Toronto,,,,,,engineering,,,0,unspecified,,,onsite,CA,Toronto,full_time,mid,,,,,,,,in_review,"Title does not match the cleaned title, and some fields are missing or ambiguous.",ollama,qwen2.5:7b,0.450,1,low_confidence|missing_normalized_title,low_confidence,1
1188,greenhouse,7547001003,https://job-boards.greenhouse.io/celonis/jobs/7547001003?gh_jid=7547001003,celonis,Procurement Manager - Marketing,Procurement Manager - Marketing,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: Reporting to our Global Head of Procurement you will work closely with various internal stakeholders and global leadership across the board to develop long-term procurement strategies. You will be part of an experienced and ambitious global procurement team. Despite the different ti",marketing_specialist,marketing,senior,,hybrid,Madrid,,,,,Procurement Manager - Marketing,marketing,,,1,unspecified,,,hybrid,,Madrid,,senior,,,,,,,,in_review,"Title and role family are correct, but other fields such as experience years, education level, employment type, salary details, etc., are missing or unknown.",ollama,qwen2.5:7b,0.550,1,low_confidence|location_without_country,low_confidence,1
1125,greenhouse,6659660003,https://job-boards.greenhouse.io/celonis/jobs/6659660003?gh_jid=6659660003,celonis,Finance Business Partner,Finance Business Partner,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The GTM Finance Business Partner organization is a critical team within Celonis. The team operates in a highly visible environment to executive leadership and is a key player in setting Celonis's strategic &amp; financial objectives. The goals and objective our the GTM FInance Busin",accountant,finance,senior,,hybrid,Madrid,,,,,Finance Business Partner,finance,,,1,unspecified,,,hybrid,,Madrid,,senior,,,,,,,,in_review,"The normalized title does not match the prediction, and there is missing information for several fields.",ollama,qwen2.5:7b,0.620,1,low_confidence|location_without_country,low_confidence,1
536,greenhouse,6072086,https://job-boards.greenhouse.io/canonical/jobs/6072086,canonical,UX Designer - Infrastructure,UX Designer - Infrastructure,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",product_designer,design,manager,,remote,Home based - EMEA,,,,,,design,,,1,unspecified,,,remote,,Home based - EMEA,,manager,,,,,,,,in_review,Title normalization and employment type are unknown.,ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,2
1552,greenhouse,4989990,https://job-boards.greenhouse.io/capco/jobs/4989990,capco,Banco de Talentos - Energia,Banco de Talentos - Energia,"SOBRE A CAPCO A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros. Somos apaixonados por ajudar nossos clientes a ter sucesso em um setor em constante mudança. Estamos prospectando profissionais para vagas em Energy . Buscamos profissionais com 2 à 5 anos de experiência nas seguintes áreas: Engenharia (diversas especialidades); Administração; Análise de Sistemas; Tecnologia em Segurança; Tecnologia Industrial. &nbsp; Aplique-se aqui.&nbsp;",other,other,,,,Brazil,,,,,,,2,5,1,,,,onsite,BR,,full_time,,,,,,,,,in_review,"Title and role family are not specified, confidence is low.",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing,low_confidence,3
1235,greenhouse,6685374003,https://job-boards.greenhouse.io/celonis/jobs/6685374003?gh_jid=6685374003,celonis,"Senior Manager, Technical Accounting & Financial Reporting","Senior Manager, Technical Accounting & Financial Reporting","We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Role: We are looking for a Senior Manager, Technical Accounting &amp; Financial Reporting to oversee financial reporting, technical accounting and M&amp;A. Reporting to the Controller, the role will be a key position in the finance organization, interacting and coordinating with various d",manager,operations,senior,full_time,hybrid,New York,,,,,"Senior Manager, Technical Accounting & Financial Reporting",,,,1,master,,,hybrid,US,New York,full_time,senior,,,,,,,,in_review,"Role family, education level, and soft skills are uncertain.",ollama,qwen2.5:7b,0.600,1,low_confidence|missing_role_family,low_confidence,1
289,greenhouse,6460571,https://job-boards.greenhouse.io/canonical/jobs/6460571,canonical,"Director, Talent Science","Director, Talent Science","Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",talent_analytics_specialist,hr,senior,,remote,Home based - EMEA,,,,,"Director, Talent Science",,,,1,master,,,remote,,Home based - EMEA,,senior,,,,,,,,in_review,"Title does not match prediction, role family and degree required are unknown.",ollama,qwen2.5:7b,0.620,1,low_confidence|missing_role_family|location_without_country,low_confidence,2
545,greenhouse,4661912005,https://job-boards.greenhouse.io/gleanwork/jobs/4661912005,gleanwork,AI Outcomes Manager- Central,AI Outcomes Manager- Central,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",manager,operations,senior,,hybrid,Nashville,,150000,200000,USD,AI Outcomes Manager,,,,1,unspecified,,,hybrid,,Nashville,,senior,,150000,200000,USD,yearly,,,in_review,"Role family and employment type are unknown. Confidence is low due to missing role family, employment type, and country.",ollama,qwen2.5:7b,0.000,1,low_confidence|missing_role_family|location_without_country,low_confidence,2
912,greenhouse,5815345004,https://job-boards.greenhouse.io/correlationone/jobs/5815345004,correlationone,Learning Designer,Learning Designer,"Correlation One develops the workforce’s skills for the AI economy Enterprises and governments work with us to develop talent and close critical data, digital, and technology skills gaps. Our global programs, including training programs and data competitions, also empower underrepresented communities and accelerate careers. Our mission is to create equal access to the data-driven jobs of the future. We partner with top employers and government organizations to make that a reality, including Amazon, Coca-Cola, Johnson &amp; Johnson, the U.S. State Department, and the U.S. Department of Defense.",content_designer,design,,,remote,Remote: MENA,,,,,Learning Designer,design,,,0,,,,remote,,,,,,,,,,,,in_review,"Title normalization and role family are correct, but other fields such as experience, education level, employment type, seniority, salary details, and location city are unknown or missing.",ollama,qwen2.5:7b,0.550,1,low_confidence|location_without_country,low_confidence,2
1770,greenhouse,7534056,https://job-boards.greenhouse.io/capco/jobs/7534056,capco,Managing Principal (Director) - Finance Transformation,Managing Principal (Director) - Finance Transformation,"&nbsp; &nbsp; Managing Principal – Finance Transformation Location: London (Hybrid) | Practice Area: FRRF – Financial Crime, Risk, Regulation &amp; Finance Transformation | Type: Permanent Empower financial leadership through strategic transformation The Role Capco is seeking an experienced Managing Principal to lead our Finance Transformation capability within the FRRF practice. You will work with CFOs, Treasurers, and senior finance leaders across Tier 1 institutions to deliver large-scale transformation programmes that enhance the value of finance and treasury functions. This leadership rol",consultant,consulting,senior,,hybrid,UK - London,,,,,Managing Principal (Director) - Finance Transformation,management,,,1,master,,strategic thinking; leadership; communication; problem-solving,hybrid,GB,London,full_time,director,,,,,,,,in_review,"The normalized title does not match the prediction, and there is no salary information provided.",ollama,qwen2.5:7b,0.600,1,low_confidence,low_confidence,0
913,greenhouse,5815347004,https://job-boards.greenhouse.io/correlationone/jobs/5815347004,correlationone,Learning Designer,Learning Designer,"Correlation One develops the workforce’s skills for the AI economy Enterprises and governments work with us to develop talent and close critical data, digital, and technology skills gaps. Our global programs, including training programs and data competitions, also empower underrepresented communities and accelerate careers. Our mission is to create equal access to the data-driven jobs of the future. We partner with top employers and government organizations to make that a reality, including Amazon, Coca-Cola, Johnson &amp; Johnson, the U.S. State Department, and the U.S. Department of Defense.",content_designer,design,,,remote,Remote: LATAM,,,,,Learning Designer,design,,,0,,,,remote,,,unspecified,,,,,,,,,in_review,"Confidence is below threshold and seniority, employment type are missing.",ollama,qwen2.5:7b,0.620,1,low_confidence|location_without_country,low_confidence,1
623,greenhouse,4501783005,https://job-boards.greenhouse.io/gleanwork/jobs/4501783005,gleanwork,"Machine Learning Engineer, Infrastructure","Machine Learning Engineer, Infrastructure","About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",ml_engineer,machine_learning,junior,,hybrid,San Francisco Bay Area,,175000,270000,USD,"Machine Learning Engineer, Infrastructure",machine_learning,,,0,unspecified,,,hybrid,,San Francisco Bay Area,,junior,,175000,270000,USD,yearly,,,in_review,Employment type and country are missing. Experience years are unknown.,ollama,qwen2.5:7b,0.000,1,low_confidence|location_without_country,low_confidence,1
189,greenhouse,5466892002,https://job-boards.greenhouse.io/gomotive/jobs/5466892002,gomotive,Interested in joining our team?,Interested in joining our team?,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",general_application,recruiting,,,remote,Remote - United States,,,,,,,,,0,,,,remote,US,,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, seniority and employment type are unspecified.",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family,low_confidence,2
926,greenhouse,7637297003,https://job-boards.greenhouse.io/truebill/jobs/7637297003,truebill,"Senior Full Stack Engineer, AI & Data Products","Senior Full Stack Engineer, AI & Data Products","ABOUT ROCKET MONEY 🔮 Rocket Money’s mission is to meaningfully improve the financial prosperity of millions of people. Rocket Money offers members a unique understanding of their finances and a suite of valuable services that save them time and money – ultimately giving them a leg up on their financial journey. ABOUT THE TEAM &nbsp;🤝 On Team Intel, our mission is to take complex financial data and provide magical, data and AI driven experiences to our millions of users. We’re a small but high-impact team where engineers are empowered to be co-owners of every step of the ideation → deployment l",fullstack_engineer,fullstack,senior,,remote,San Francisco,,150000,185000,USD,"Senior Full Stack Engineer, AI & Data Products",fullstack,,,1,bachelor,,,onsite,US,San Francisco,full_time,senior,,150000,185000,USD,yearly,,,in_review,Experience years and country are not specified in the description.,ollama,qwen2.5:7b,0.000,1,low_confidence,low_confidence,0
729,greenhouse,4529580005,https://job-boards.greenhouse.io/gleanwork/jobs/4529580005,gleanwork,Technical Writer,Technical Writer,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",other,other,lead,,hybrid,Bangalore,,,,,Technical Writer,other,,,0,,,,onsite,IN,Bangalore,,,,,,,,,,in_review,"The role family and seniority are not clearly defined in the description, and employment type is missing.",ollama,qwen2.5:7b,0.550,1,low_confidence,low_confidence,2
966,greenhouse,7524144,https://job-boards.greenhouse.io/gofundme/jobs/7524144,gofundme,"Senior Director, Content Risk","Senior Director, Content Risk","Want to help us help others? We’re hiring!&nbsp; GoFundMe is the world’s most powerful community for good, dedicated to helping people help each other. By uniting individuals and nonprofits in one place, GoFundMe makes it easy and safe for people to ask for help and support causes—for themselves and each other. Together, our community has raised more than $40 billion since 2010. Join us! The GoFundMe team is searching for our next Senior Director, Content Risk to help lead our company's approach to operationalising the enforcement of our community conduct and behavior on the GoFundMe platform.",marketing_manager,marketing,senior,,hybrid,Dublin,,,,,"Senior Director, Content Risk",management,,,1,master,,,hybrid,,Dublin,full_time,director,,,,,,,,in_review,Confidence is below threshold and seniority is not explicitly mentioned in the title.,ollama,qwen2.5:7b,0.620,1,low_confidence|location_without_country,low_confidence,0
1343,greenhouse,7592408,https://job-boards.greenhouse.io/thumbtack/jobs/7592408,thumbtack,Senior Data Engineer,Senior Data Engineer,"Thumbtack helps millions of people confidently care for their homes. Thumbtack is the one app you need to take care of and improve your home — from personalized guidance to AI tools and a best-in-class hiring experience. Every day in every county of the U.S., people turn to Thumbtack to complete urgent repairs, seasonal maintenance and bigger improvements. We help homeowners know which projects to do, when to do them and who to hire from our growing community of 300,000 local service businesses. If making an impact inspires you, join us. Imagine what we’ll build together. About the Data Engine",data_engineer,data_engineering,senior,,remote,Remote,,180200,233200,USD,Senior Data Engineer,data_engineering,,,1,unspecified,,,remote,,Remote,,senior,,180200,233200,USD,yearly,,,in_review,Employment type and country are missing. Experience years are unknown.,ollama,qwen2.5:7b,0.000,1,low_confidence|location_without_country,low_confidence,1
601,greenhouse,4643390005,https://job-boards.greenhouse.io/gleanwork/jobs/4643390005,gleanwork,Finance Systems Trainee,Finance Systems Trainee,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",accountant,finance,manager,,hybrid,Bangalore,,,,,Finance Systems Trainee,finance,,,0,unspecified,,,onsite,IN,Bangalore,full_time,junior,,,,,,,,in_review,"The seniority level and employment type are not clearly stated in the description, and the location is ambiguous between hybrid and onsite.",ollama,qwen2.5:7b,0.620,1,low_confidence,low_confidence,0
12,greenhouse,7543805,https://job-boards.greenhouse.io/omadahealth/jobs/7543805,omadahealth,Senior Commercial Counsel,Senior Commercial Counsel,"Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp; Job overview: We are seeking two accomplished and highly motivated attorneys to join Omada’s Legal team as our next Senior Commercial Counsel hires. We are hiring two roles at the same level: one focused on revenue‑driving transactions with Omada’s customers and partners (Customer focus) and one focused on vendor agreements supporting Omada’s sourcing, operations, technology, and other internal procurement initiatives (Procurement focus). Reporting to the Senior Director, Legal, these roles ",legal_counsel,legal,associate,contract,remote,Remote,,197800,247300,USD,Senior Commercial Counsel,legal,,,1,unspecified,,,remote,,Remote,contract,senior,,197800,247300,USD,,,,in_review,The seniority level is not accurately reflected in the predicted role family and experience fields are unknown.,ollama,qwen2.5:7b,0.650,1,location_without_country|salary_without_period,location_without_country,0
