job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
1378,greenhouse,6958296,https://job-boards.greenhouse.io/appier/jobs/6958296,appier,HR Employee Experience Senior Manager / Associate Director,HR Employee Experience Senior Manager / Associate Director,"Overview: We are seeking an experienced and dynamic HR Senior Manager/ Associate Director to lead our HR Employee Experience team with a focus on efficiency, effectiveness, and exceptional employee experience delivery. The ideal candidate will possess a strong background in HR problem solving / consulting, HR Shared Service Center management, HRIS management, and a proven track record in driving HR process improvement initiatives. This role requires excellent leadership and communication skills, strategic thinking, and the ability to collaborate with cross-functional teams to deliver HR soluti",manager,operations,associate,,,Taipei,TW,,,,manager,,8,12,1,master,,communication;leadership;problem-solving,onsite,TW,Taipei,,senior,,,,,,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,2
1023,greenhouse,7408665,https://job-boards.greenhouse.io/webflow/jobs/7408665,webflow,"Partner Manager, Agencies","Partner Manager, Agencies","At Webflow, we’re building the world’s leading AI-native Digital Experience Platform, and we’re doing it as a remote-first company built on trust, transparency, and a whole lot of creativity. This work takes grit, because we move fast, without ever sacrificing craft or quality. Our mission is to bring development superpowers to everyone. From entrepreneurs launching their first idea to global enterprises scaling their digital presence, we empower teams to design, launch, and optimize for the web without barriers. We believe the future of the web, and work, is more open, more creative, and more",manager,operations,senior,full_time,remote,CA (BC & ON only),US,179000,226000,USD,manager,,,,1,,,,remote,US,,full_time,senior,,179000,226000,USD,yearly,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
1868,greenhouse,7522365,https://job-boards.greenhouse.io/capco/jobs/7522365,capco,Senior BA/PM | Securities Services,Senior BA/PM | Securities Services,"ABOUT CAPCO &nbsp; Capco is a global technology and management consultancy specializing in driving digital transformation in the financial services and insurance industries. Capco is committed to providing clients with practical solutions. We offer a globally integrated service with offices in leading financial centers across the globe. We have the people, the vision, and the passion. We are growing through a significant growth journey, now is a very good time to join us as we expand geographically, increase headcount and disrupt the consulting market across APAC with entrepreneurial and agile",other,other,senior,,,China - Hong Kong,HK,,,,other,,5,,1,bachelor,,,onsite,HK,China - Hong Kong,,senior,,,,,,,,in_review,Role family and employment type are unknown. | rule_review: missing_role_family,ollama,qwen2.5:7b,0.750,1,missing_role_family,missing_role_family,2
1235,greenhouse,6685374003,https://job-boards.greenhouse.io/celonis/jobs/6685374003?gh_jid=6685374003,celonis,"Senior Manager, Technical Accounting & Financial Reporting","Senior Manager, Technical Accounting & Financial Reporting","We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Role: We are looking for a Senior Manager, Technical Accounting &amp; Financial Reporting to oversee financial reporting, technical accounting and M&amp;A. Reporting to the Controller, the role will be a key position in the finance organization, interacting and coordinating with various d",manager,operations,senior,full_time,hybrid,New York,US,,,,manager,,,,1,master,,,hybrid,US,New York,full_time,senior,,,,,,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
545,greenhouse,4661912005,https://job-boards.greenhouse.io/gleanwork/jobs/4661912005,gleanwork,AI Outcomes Manager- Central,AI Outcomes Manager- Central,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",manager,operations,senior,,hybrid,Nashville,TN,150000,200000,USD,manager,,,,1,bachelor,,,hybrid,TN,Nashville,full_time,senior,,150000,200000,USD,yearly,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
1960,greenhouse,7335064,https://job-boards.greenhouse.io/capco/jobs/7335064,capco,Technical Project Manager,Technical Project Manager,"Technical Project Manager – Data About the team: Capco is a fully independent, global management and technology consultancy. For nearly 20 years we have combined innovative thinking with deep industry knowledge to deliver business consulting, digital transformation and technology services to Finance and Energy markets. Our collaborative and efficient approach helps clients reduce costs and manage risk and regulatory change while increasing revenues. We are thinkers, innovators, and disruptors. We are small enough to care but large enough to matter About the Job: As a Project Manager specializi",manager,operations,lead,,,US - Dallas,,,,,manager,,,,,,,,onsite,US,Dallas,,lead,,,,,,,,in_review,Role family and employment type are unknown. | rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,2
219,greenhouse,8384543002,https://job-boards.greenhouse.io/gomotive/jobs/8384543002,gomotive,Senior Insurance Partner Manager (Carriers),Senior Insurance Partner Manager (Carriers),"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",manager,operations,senior,,onsite,,US,,,,manager,,,,1,bachelor,,,onsite,US,,,senior,,,,,,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,2
1985,greenhouse,7400756,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7400756,mavensecuritiesholdingltd,Compliance Manager (Regulatory Reporting),Compliance Manager (Regulatory Reporting),"Maven is a market-leading proprietary trading firm allocating internal capital across discretionary, systematic, and market-making strategies. Our collective expertise spans traders, engineers, and technologists, unified by an unwavering dedication to enhance our efficiency as a premier liquidity provider for globally listed derivatives. We leverage groundbreaking execution and pricing technologies to elevate and improve how financial markets operate . Maven continues to scale its operations while preserving the dynamic energy and innovative culture of a start-up, but without the associated ri",manager,operations,senior,,,London,GB,,,,manager,,,,1,bachelor,,,onsite,GB,London,full_time,senior,,,,,,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
1727,greenhouse,7557537,https://job-boards.greenhouse.io/capco/jobs/7557537,capco,Junior Project Manager - (Banking),Junior Project Manager - (Banking),"Company Overview Capco is an entrepreneurial consulting business with expertise in transformation, technology, and strategy. We specialize in banking and payment; capital markets; wealth &amp; investment management; finance, risk &amp; compliance; and technology, serving our clients from offices in leading financial centers across US, Europe and APAC. We are expanding our business rapidly across Asia (especially Malaysia). You will work on engaging projects with some of the largest banking and insurance clients in the world, projects that will deliver significant transformation and change. Bes",manager,operations,junior,,,Malaysia - Kuala Lumpur,,,,,manager,,0,2,1,bachelor,,,onsite,,Kuala Lumpur,full_time,junior,,,,,,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family|location_without_country,missing_role_family,1
971,greenhouse,7531355,https://job-boards.greenhouse.io/gofundme/jobs/7531355,gofundme,Senior Paid Media Manager,Senior Paid Media Manager,"Want to help us help others? We’re hiring!&nbsp; GoFundMe is the world’s most powerful community for good, dedicated to helping people help each other. By uniting individuals and nonprofits in one place, GoFundMe makes it easy and safe for people to ask for help and support causes—for themselves and each other. Together, our community has raised more than $40 billion since 2010. Join us! The GoFundMe team is searching for a Senior Paid Media Manager to drive global consumer growth through strategic, data-informed, and creative paid media execution. You’ll be a player-coach who combines analyti",manager,operations,senior,full_time,hybrid,,US,,,,manager,,,,1,,,,hybrid,US,,full_time,senior,,,,,,,,in_review,rule_review: missing_role_family,ollama,qwen2.5:7b,0.850,1,missing_role_family,missing_role_family,1
