job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title_before,gold_normalized_title_after,pred_role_family,gold_role_family,queue_reason,review_decision,review_notes
1378,https://job-boards.greenhouse.io/appier/jobs/6958296,HR Employee Experience Senior Manager / Associate Director,manager,HR Employee Experience Senior Manager / Associate Director,manager,operations,,missing_gold_role_family_with_canonical_title,,
377,https://job-boards.greenhouse.io/canonical/jobs/6177790,MAAS Data Center Infrastructure Engineer (Toronto area),analytics_engineer,,,data_analytics,engineering,gold_vs_pred_title_mismatch,,
536,https://job-boards.greenhouse.io/canonical/jobs/6072086,UX Designer - Infrastructure,product_designer,,,design,design,gold_vs_pred_title_mismatch,,
1023,https://job-boards.greenhouse.io/webflow/jobs/7408665,"Partner Manager, Agencies",manager,Partner Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1868,https://job-boards.greenhouse.io/capco/jobs/7522365,Senior BA/PM | Securities Services,other,Senior BA/PM | Securities Services,other,other,,title_still_other_after_canonicalization,,
1235,https://job-boards.greenhouse.io/celonis/jobs/6685374003?gh_jid=6685374003,"Senior Manager, Technical Accounting & Financial Reporting",manager,"Senior Manager, Technical Accounting & Financial Reporting",manager,operations,,missing_gold_role_family_with_canonical_title,,
1807,https://job-boards.greenhouse.io/capco/jobs/7594883,Principal Architect: Google Cloud (GCP),other,Principal Architect,other,other,architecture,title_still_other_after_canonicalization,,
545,https://job-boards.greenhouse.io/gleanwork/jobs/4661912005,AI Outcomes Manager- Central,manager,AI Outcomes Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
912,https://job-boards.greenhouse.io/correlationone/jobs/5815345004,Learning Designer,content_designer,,,design,design,gold_vs_pred_title_mismatch,,
913,https://job-boards.greenhouse.io/correlationone/jobs/5815347004,Learning Designer,content_designer,,,design,design,gold_vs_pred_title_mismatch,,
189,https://job-boards.greenhouse.io/gomotive/jobs/5466892002,Interested in joining our team?,general_application,,,recruiting,,gold_vs_pred_title_mismatch,,
