job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
4,greenhouse,4501664005,https://job-boards.greenhouse.io/found/jobs/4501664005,,,Telehealth Provider (MD & DO),"Found is transforming personalized weight care with an evidence-based platform that combines modern medicine, behavior change support, personalized coaching, and a supportive community. Since launching in 2019, Found has served over 250,000 patients across the U.S., making high-quality, affordable treatment more accessible while reducing healthcare costs for consumers, employers, and payors. Backed by $130M+ from top investors including Atomic, GV, WestCap, IVP, TCG, and Define Ventures, Found is redefining how personalized weight care is delivered at scale. Pippen Health, the virtual medicine",healthcare_provider,healthcare,,contract,remote,,,140,180,USD,healthcare_provider,healthcare,,,0,unspecified,,,remote,US,,contract,unspecified,,140,180,USD,hourly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.950,1,uncategorized_review,uncategorized_review,0
820,greenhouse,5811263004,https://job-boards.greenhouse.io/grafanalabs/jobs/5811263004,,,Senior Product Counsel | United States | Remote,"Grafana Labs is a remote-first, open-source powerhouse. There are more than 20M users of Grafana, the open source visualization tool, around the globe, monitoring everything from beehives to climate change in the Alps. The instantly recognizable dashboards have been spotted everywhere from a NASA launch and Minecraft HQ to Wimbledon and the Tour de France. Grafana Labs also helps more than 3,000 companies -- including Bloomberg, JPMorgan Chase, and eBay -- manage their observability strategies with the Grafana LGTM Stack, which can be run fully managed with Grafana Cloud or self-managed with t",legal_counsel,legal,senior,,remote,,US,229462,275355,USD,legal_counsel,legal,,,1,unspecified,,,remote,US,,,senior,,229462,275355,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,1
818,greenhouse,5814154004,https://job-boards.greenhouse.io/grafanalabs/jobs/5814154004,,,Senior Product Counsel | Ireland | Remote,"Grafana Labs is a remote-first, open-source powerhouse. There are more than 20M users of Grafana, the open source visualization tool, around the globe, monitoring everything from beehives to climate change in the Alps. The instantly recognizable dashboards have been spotted everywhere from a NASA launch and Minecraft HQ to Wimbledon and the Tour de France. Grafana Labs also helps more than 3,000 companies -- including Bloomberg, JPMorgan Chase, and eBay -- manage their observability strategies with the Grafana LGTM Stack, which can be run fully managed with Grafana Cloud or self-managed with t",legal_counsel,legal,senior,,remote,,US,145000,175000,EUR,legal_counsel,legal,,,1,unspecified,,,remote,IE,,full_time,senior,,145000,175000,EUR,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
1945,greenhouse,7613220,https://job-boards.greenhouse.io/capco/jobs/7613220,,,Solution Architect - Insurance,"Capco Technology delivers advisory, implementation, and end‑to‑end engineering solutions across the Insurance, Financial Services, and Energy sectors. Within Insurance, we help clients modernize their technology landscapes through digital transformation, cloud‑native platform builds, AI‑enhanced product innovation, intelligent automation, data modernization, and advanced analytics. By working closely with our digital and data teams, we enable insurers to improve operational efficiency, accelerate underwriting and claims decisions, and deliver more personalized customer experiences powered by m",other,other,senior,,hybrid,China - Hong Kong,,,,,other,architecture,,,1,bachelor,,,hybrid,HK,Hong Kong,full_time,senior,,,,,,digital_transformation;cloud-native_platform_builds;ai-enhanced_product_innovation;intelligent_automation;data_modernization;advanced_analytics,,in_review,rule_review: location_without_country,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
677,greenhouse,4628714005,https://job-boards.greenhouse.io/gleanwork/jobs/4628714005,,,"Senior Technical Program Manager, Infrastructure (TPM)","About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",technical_program_manager,program_management,senior,,hybrid,Palo Alto,CA,198000,235500,USD,technical_program_manager,program_management,,,1,unspecified,,,hybrid,CA,Palo Alto,full_time,senior,,198000,235500,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
676,greenhouse,4657161005,https://job-boards.greenhouse.io/gleanwork/jobs/4657161005,,,"Senior Technical Program Manager, Billing (TPM)","About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",technical_program_manager,program_management,senior,,hybrid,Palo Alto,CA,198000,235500,USD,technical_program_manager,program_management,,,1,bachelor,,,hybrid,CA,Palo Alto,full_time,senior,,198000,235500,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.750,1,uncategorized_review,uncategorized_review,0
678,greenhouse,4628879005,https://job-boards.greenhouse.io/gleanwork/jobs/4628879005,,,Senior Technical Program Manager (TPM),"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",technical_program_manager,program_management,senior,,hybrid,Palo Alto,CA,198000,235500,USD,technical_program_manager,program_management,,,1,unspecified,,,hybrid,CA,Palo Alto,full_time,senior,,198000,235500,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
1334,greenhouse,7565623,https://job-boards.greenhouse.io/thumbtack/jobs/7565623,,,"Data Scientist II, Marketing","Thumbtack helps millions of people confidently care for their homes. Thumbtack is the one app you need to take care of and improve your home — from personalized guidance to AI tools and a best-in-class hiring experience. Every day in every county of the U.S., people turn to Thumbtack to complete urgent repairs, seasonal maintenance and bigger improvements. We help homeowners know which projects to do, when to do them and who to hire from our growing community of 300,000 local service businesses. If making an impact inspires you, join us. Imagine what we’ll build together. About the Data Scienc",data_scientist,data_science,,,remote,,US,150500,194700,USD,data_scientist,data_science,,,1,bachelor,,,remote,US,,full_time,senior,,150500,194700,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
723,greenhouse,4657199005,https://job-boards.greenhouse.io/gleanwork/jobs/4657199005,,,"Technical Program Manager, Connectors (TPM)","About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",technical_program_manager,program_management,staff,,hybrid,Palo Alto,CA,198000,235500,USD,technical_program_manager,program_management,,,1,bachelor,,,hybrid,CA,Palo Alto,full_time,unspecified,,198000,235500,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.850,1,uncategorized_review,uncategorized_review,0
968,greenhouse,7456572,https://job-boards.greenhouse.io/gofundme/jobs/7456572,,,Senior Machine Learning Engineer,"Want to help us help others? We’re hiring!&nbsp; GoFundMe is the world’s most powerful community for good, dedicated to helping people help each other. By uniting individuals and nonprofits in one place, GoFundMe makes it easy and safe for people to ask for help and support causes—for themselves and each other. Together, our community has raised more than $40 billion since 2010. Join us! The GoFundMe team is searching for our next Senior Machine Learning Engineer to help design and implement our next generation of machine learning solutions powering search and retrieval, recommendation, and pe",ml_engineer,machine_learning,senior,full_time,hybrid,San Francisco,CA,181000,271000,USD,ml_engineer,machine_learning,,,1,master,,,hybrid,CA,San Francisco,full_time,senior,,181000,271000,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.950,1,uncategorized_review,uncategorized_review,0
