job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,suggested_normalized_title,suggested_role_family,review_categories,primary_review_category,missing_core_count
726,greenhouse,4448955005,https://job-boards.greenhouse.io/gleanwork/jobs/4448955005,gleanwork,Technical Support Engineer,Technical Support Engineer,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",it_support_specialist,it_operations,junior,,,Nashville,TN,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,suggested_title=it_support_specialist;suggested_role_family=it_operations,ollama,qwen2.5:7b,0.800,1,it_support_specialist,it_operations,too_many_core_fields_missing,too_many_core_fields_missing,3
1125,greenhouse,6659660003,https://job-boards.greenhouse.io/celonis/jobs/6659660003?gh_jid=6659660003,celonis,Finance Business Partner,Finance Business Partner,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The GTM Finance Business Partner organization is a critical team within Celonis. The team operates in a highly visible environment to executive leadership and is a key player in setting Celonis's strategic &amp; financial objectives. The goals and objective our the GTM FInance Busin",accountant,finance,senior,,hybrid,Madrid,ES,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The term 'Finance Business Partner' is more specific and may not directly map to the generic role of 'accountant'. Further context would be needed to confirm. | suggested_title=finance_business_partner;suggested_role_family=finance,ollama,qwen2.5:7b,0.700,1,finance_business_partner,finance,too_many_core_fields_missing,too_many_core_fields_missing,3
536,greenhouse,6072086,https://job-boards.greenhouse.io/canonical/jobs/6072086,canonical,UX Designer - Infrastructure,UX Designer - Infrastructure,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",product_designer,design,manager,,remote,,,,,,other,design,,,,,,,,,,,,,,,,,,,in_review,suggested_title=product_designer;suggested_role_family=design,ollama,qwen2.5:7b,0.800,1,product_designer,design,too_many_core_fields_missing,too_many_core_fields_missing,3
1915,greenhouse,7456452,https://job-boards.greenhouse.io/capco/jobs/7456452,capco,Senior Full Stack Developer - COM INGLÊS - Remoto,Senior Full Stack Developer - COM INGLÊS - Remoto,"A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros e energia, somos apaixonados por ajudar nossos clientes, temos 40 escritórios nas Américas, Europa e Ásia-Pacífico! Se criatividade e inovação são sua paixão, a Capco é ideal para você. Vamos te apoiar e ajudar a acelerar sua carreira! Estamos em busca de um(a) Desenvolvedor(a) Full Stack apaixonado(a) por tecnologia e inovação, com interesse em atuar em projetos que envolvam Inteligência Artificial. O profissional será responsável pelo desenvolvimento de aplicações web completas — frontend e bac",fullstack_engineer,fullstack,senior,,,Brazil - Sao Paulo,BR,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,suggested_title=full_stack_engineer;suggested_role_family=full_stack,ollama,qwen2.5:7b,0.900,1,full_stack_engineer,full_stack,too_many_core_fields_missing,too_many_core_fields_missing,3
1316,greenhouse,7618766003,https://job-boards.greenhouse.io/celonis/jobs/7618766003?gh_jid=7618766003,celonis,Summernaut Program - Legal Summer Intern,Summernaut Program - Legal Summer Intern,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The Celonis Legal team is an energetic and proactive group of experts in their field, focused on identifying, avoiding, mitigating and solving challenges within the Celonis business. We sit at the heart of the Celonis organization and are proud to be seen as valued business partners",legal_counsel,legal,intern,full_time,hybrid,Raleigh,US,,,,other,legal,,,,,,,,,,,,,,,,,,,in_review,suggested_title=legal_counsel;suggested_role_family=legal,ollama,qwen2.5:7b,0.800,1,legal_counsel,legal,too_many_core_fields_missing,too_many_core_fields_missing,3
1681,greenhouse,7589865,https://job-boards.greenhouse.io/capco/jobs/7589865,capco,Frontend Developer - hybrid Calgary ** numerous openings at all levels **,Frontend Developer - hybrid Calgary ** numerous openings at all levels **,"Create intuitive, high-performing user experiences for the future of financial services. &nbsp; At Capco,&nbsp;we’re&nbsp;driven by three core values that define who we are and how we work: Make a Difference, Be Yourself&nbsp;At&nbsp;Work, and Act&nbsp;With&nbsp;Integrity. We challenge the status quo, embrace diverse perspectives, and bring a collaborative, entrepreneurial mindset to every engagement. Our #BeYourselfAtWork culture champions authenticity and inclusivity — because we believe diverse thinking sparks innovation and&nbsp;creates&nbsp;meaningful outcomes for our clients, our people,",frontend_engineer,frontend,senior,,hybrid,Canada - Calgary,CA,92000,118000,USD,other,frontend,,,,,,,,,,,,,,,,,,,in_review,suggested_title=frontend_engineer;suggested_role_family=frontend,ollama,qwen2.5:7b,0.900,1,frontend_engineer,frontend,too_many_core_fields_missing,too_many_core_fields_missing,3
1104,greenhouse,7628764003,https://job-boards.greenhouse.io/celonis/jobs/7628764003?gh_jid=7628764003,celonis,"Director, Corporate Development","Director, Corporate Development","We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: Celonis’ Corporate Development team partners with leadership to identify and execute acquisitions and strategic investments to support our corporate and product strategy.&nbsp;&nbsp; The Role: The Corporate Development Director will lead the sourcing, evaluation, execution and integ",corporate_development,strategy,lead,full_time,hybrid,Redwood City,US,,,,other,strategy,,,,,,,,,,,,,,,,,,,in_review,suggested_title=corporate_development_director;suggested_role_family=strategy,ollama,qwen2.5:7b,0.800,1,corporate_development_director,strategy,too_many_core_fields_missing,too_many_core_fields_missing,3
4,greenhouse,4501664005,https://job-boards.greenhouse.io/found/jobs/4501664005,found,Telehealth Provider (MD & DO),Telehealth Provider (MD & DO),"Found is transforming personalized weight care with an evidence-based platform that combines modern medicine, behavior change support, personalized coaching, and a supportive community. Since launching in 2019, Found has served over 250,000 patients across the U.S., making high-quality, affordable treatment more accessible while reducing healthcare costs for consumers, employers, and payors. Backed by $130M+ from top investors including Atomic, GV, WestCap, IVP, TCG, and Define Ventures, Found is redefining how personalized weight care is delivered at scale. Pippen Health, the virtual medicine",healthcare_provider,healthcare,,contract,remote,,,,,,other,healthcare,,,,,,,,,,,,,,,,,,,in_review,suggested_title=telehealth_provider;suggested_role_family=healthcare,ollama,qwen2.5:7b,0.800,1,telehealth_provider,healthcare,too_many_core_fields_missing,too_many_core_fields_missing,3
75,greenhouse,7425784,https://job-boards.greenhouse.io/smartsheet/jobs/7425784,smartsheet,People Analytics Analyst - (Hybrid in Bangalore),People Analytics Analyst - (Hybrid in Bangalore),"For over 20 years, Smartsheet has helped people and teams achieve–well, anything. From seamless work management to smart, scalable solutions, we’ve always worked with flow. We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter. But more than that, we’re creating space– space to think big, take action, and unlock the kind of work that truly matters. Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. We are looking for a People Analytics Analyst to support the employee d",data_analyst,data_analytics,director,,hybrid,Bangalore,IN,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The term 'People Analytics Analyst' is specific and may not directly map to the more general 'data_analyst'. The role family could be more accurately categorized under human resources. | suggested_title=people_analytics_specialist;suggested_role_family=human_resources,ollama,qwen2.5:7b,0.700,1,people_analytics_specialist,human_resources,too_many_core_fields_missing,too_many_core_fields_missing,3
633,greenhouse,4657395005,https://job-boards.greenhouse.io/gleanwork/jobs/4657395005,gleanwork,Partner Marketing Manager,Partner Marketing Manager,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",marketing_specialist,marketing,manager,,hybrid,Bangalore,IN,,,,other,marketing,,,,,,,,,,,,,,,,,,,in_review,suggested_title=marketing_specialist;suggested_role_family=marketing,ollama,qwen2.5:7b,0.800,1,marketing_specialist,marketing,too_many_core_fields_missing,too_many_core_fields_missing,3
235,greenhouse,8403604002,https://job-boards.greenhouse.io/gomotive/jobs/8403604002,gomotive,Senior Technical Support Engineer,Senior Technical Support Engineer,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",it_support_specialist,it_operations,senior,,remote,,PK,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,suggested_title=it_support_specialist;suggested_role_family=it_operations,ollama,qwen2.5:7b,0.800,1,it_support_specialist,it_operations,too_many_core_fields_missing,too_many_core_fields_missing,3
1916,greenhouse,7641216,https://job-boards.greenhouse.io/capco/jobs/7641216,capco,Senior Full Stack Developer - COM INGLÊS - Remoto,Senior Full Stack Developer - COM INGLÊS - Remoto,"A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros e energia, somos apaixonados por ajudar nossos clientes, temos 40 escritórios nas Américas, Europa e Ásia-Pacífico! Se criatividade e inovação são sua paixão, a Capco é ideal para você. Vamos te apoiar e ajudar a acelerar sua carreira! Estamos em busca de um(a) Desenvolvedor(a) Full Stack apaixonado(a) por tecnologia e inovação, com interesse em atuar em projetos que envolvam Inteligência Artificial. O profissional será responsável pelo desenvolvimento de aplicações web completas — frontend e bac",fullstack_engineer,fullstack,senior,,,Brazil - Sao Paulo,BR,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,suggested_title=full_stack_engineer;suggested_role_family=full_stack,ollama,qwen2.5:7b,0.900,1,full_stack_engineer,full_stack,too_many_core_fields_missing,too_many_core_fields_missing,3
1709,greenhouse,7657119,https://job-boards.greenhouse.io/capco/jobs/7657119,capco,Intern -Talent Acquisition - Scheduler,Intern -Talent Acquisition - Scheduler,"Job Title: TA - Scheduler - Intern Location: Bangalore &nbsp; About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar &amp; Seramount . With our presence across 32 cities across globe, we support 100+ clients across&nbsp;banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery.&nbsp; WHY JOIN CAPCO? You will work on engaging projects with the largest international and local ",technical_recruiter,recruiting,intern,internship,,India - Bengaluru,IN,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The title mentions 'Scheduler' which is more aligned with a scheduling role rather than technical recruitment. | suggested_title=scheduler;suggested_role_family=scheduling,ollama,qwen2.5:7b,0.700,1,scheduler,scheduling,too_many_core_fields_missing,too_many_core_fields_missing,3
