job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title_before,gold_normalized_title_after,pred_role_family,gold_role_family,queue_reason,review_decision,review_notes
1365,https://job-boards.greenhouse.io/appier/jobs/7159419,"AI Investment Partner (Sr Director), Taiwan",other,other,other,other,management,title_still_other_after_canonicalization,needs_manual_rule,add canonical rule; finance/investment leadership role
254,https://job-boards.greenhouse.io/gomotive/jobs/8021088002,Technical Support Eng- MM/CMRL,it_support_specialist,technical_support_specialist,technical_support_specialist,it_operations,it_operations,gold_vs_pred_title_mismatch,reject,use pred it_support_specialist; gold_after is nonstandard variant
508,https://job-boards.greenhouse.io/canonical/jobs/3137607,Talent Scientist,talent_analytics_specialist,talent_analytics_specialist,talent_analytics_specialist,hr,,missing_gold_role_family_with_canonical_title,accept,canonical title ok; fill gold_role_family from pred hr
1032,https://job-boards.greenhouse.io/webflow/jobs/7456130,Senior Brand Designer,other,other,other,other,design,title_still_other_after_canonicalization,needs_manual_rule,add brand_designer canonical title
445,https://job-boards.greenhouse.io/canonical/jobs/5920689,Senior Jira Administrator,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add jira_administrator or map to systems_administrator
520,https://job-boards.greenhouse.io/canonical/jobs/7606934,Treasury Analyst,other,other,other,other,,title_still_other_after_canonicalization,needs_manual_rule,add treasury_analyst canonical title
188,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,Interested in joining our team?,general_application,,,recruiting,,gold_vs_pred_title_mismatch,reject,use pred general_application
1101,https://job-boards.greenhouse.io/celonis/jobs/7230213003?gh_jid=7230213003,Customer Transformation Advisor,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,consulting/transformation role; add advisor-consultant mapping
512,https://job-boards.greenhouse.io/canonical/jobs/4541445,Technical Manager - Automotive and Industrial,manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,accept,canonical title acceptable; fill gold_role_family from pred operations
189,https://job-boards.greenhouse.io/gomotive/jobs/5466892002,Interested in joining our team?,general_application,,,recruiting,,gold_vs_pred_title_mismatch,reject,use pred general_application
