row_id,source,source_job_id,url,company_name,title_clean,pred_normalized_title,pred_role_family,pred_location_type,pred_city,pred_country,location_clean,evidence_snippet,target_normalized_title,target_role_family,target_location_type,target_country,qa_status,qa_notes
1,greenhouse,4652575005,https://job-boards.greenhouse.io/found/jobs/4652575005,found,Data Analytics Director,analytics_director,data_analytics,remote,,,Remote,"Found is transforming personalized weight care with an evidence-based platform that combines modern medicine, behavior change support, personalized coaching, and a supportive community. Since launching in 2019, Found has served over 250,000 patients across the U.S., making high-quality, affordable treatment more access",,,,,,
2,greenhouse,4665181005,https://job-boards.greenhouse.io/found/jobs/4665181005,found,Growth Marketing Manager,marketing_specialist,marketing,remote,,,Remote,"Found is transforming personalized weight care with an evidence-based platform that combines modern medicine, behavior change support, personalized coaching, and a supportive community. Since launching in 2019, Found has served over 250,000 patients across the U.S., making high-quality, affordable treatment more access",,,,,,
3,greenhouse,4642180005,https://job-boards.greenhouse.io/found/jobs/4642180005,found,Marketing & Communications Manager,marketing_specialist,marketing,remote,,,Remote,"Found is transforming personalized weight care with an evidence-based platform that combines modern medicine, behavior change support, personalized coaching, and a supportive community. Since launching in 2019, Found has served over 250,000 patients across the U.S., making high-quality, affordable treatment more access",,,,,,
4,greenhouse,4501664005,https://job-boards.greenhouse.io/found/jobs/4501664005,found,Telehealth Provider (MD & DO),healthcare_provider,healthcare,remote,,,Remote,"Found is transforming personalized weight care with an evidence-based platform that combines modern medicine, behavior change support, personalized coaching, and a supportive community. Since launching in 2019, Found has served over 250,000 patients across the U.S., making high-quality, affordable treatment more access",,,,,,
5,greenhouse,6630931,https://job-boards.greenhouse.io/omadahealth/jobs/6630931,omadahealth,"Accounting Manager, Corporate Accounting",manager,operations,remote,,US,"Remote, USA",Bonus Points for: Accounting&nbsp; Experience in implementing automation tools for procure to pay and treasury functions. | Background in the healthcare or technology industry.,,,,,,
6,greenhouse,7565197,https://job-boards.greenhouse.io/omadahealth/jobs/7565197,omadahealth,"Director of Engineering, Member Experience – Core User Experience (B2C)",software_engineer,software_engineering,remote,,US,"Remote, USA","We’re looking for an experienced Director of Engineering to lead the teams responsible for Omada’s Core User Experience: the front door and day-to-day surfaces that define trust, momentum, and long-term engagement.&nbsp; This group owns onboarding and experience foundations, home/navigation and discovery, and the support + connection experiences that make the product feel human, resilient, and easy to use. | This is ",,,,,,
7,greenhouse,7402427,https://job-boards.greenhouse.io/omadahealth/jobs/7402427,omadahealth,"Director, Product Management",product_manager,product_management,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp; Job overview: Omada is at the forefront of virtual-first care, specializing in weight health, diabetes, hypertension, and musculoskeletal issues. | You will be accountable not only for roadmap delivery, but for measurable business, clinical, and operational outcomes across the functional domain.",,,,,,
8,greenhouse,7597061,https://job-boards.greenhouse.io/omadahealth/jobs/7597061,omadahealth,"Program Manager, Strategy and Operations",operations_manager,operations,remote,,US,"Remote, USA","This role will have a split focus: Clinical Team Operations – supporting the broader Clinical organization (composed of five teams) in strategic program management, process optimization, and cross-functional collaboration. | This individual supports general Clinical operations to ensure team effectiveness and various Clinical workstreams.",,,,,,
9,greenhouse,7347080,https://job-boards.greenhouse.io/omadahealth/jobs/7347080,omadahealth,"Regional Vice President, GLP-1 Sales",sales_representative,sales,remote,,US,"Remote, USA","We have published 30 peer-reviewed studies showing the efficacy of our program across various populations and leverage a pay for performance business model. | The business is growing rapidly, and to help scale our impact, we are looking for a Regional Vice President &amp; Product Specialist - GLP-1s to sell our GLP-1 focused solutions to employer groups.",,,,,,
10,greenhouse,7565149,https://job-boards.greenhouse.io/omadahealth/jobs/7565149,omadahealth,"Senior Accountant, Financial Reporting & Technical Accounting",accountant,finance,remote,,US,"Remote, USA","The role involves collaborating with various departments and contributing to process improvement initiatives to enhance our financial operations. | You are dedicated to maintaining a productive and high-quality work environment, thrive with detail-oriented tasks, and continuously seek ways to optimize processes and systems.",,,,,,
