job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
445,greenhouse,5920689,https://job-boards.greenhouse.io/canonical/jobs/5920689,,,Senior Jira Administrator,"Canonical is a leading provider of open-source software and operating systems for global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in more than 80 countries and very few office-based roles. Teams meet two to four times yearly in person, in interesting lo",other,other,senior,,remote,,,,,,other,other,,,1,unspecified,,,remote,,,,senior,,,,,,jira,,in_review,manual_queue_needs_manual_rule: add jira_administrator or map to systems_administrator,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,1
442,greenhouse,7528950,https://job-boards.greenhouse.io/canonical/jobs/7528950,,,Senior Design Researcher - User Science,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",other,other,senior,,remote,,,,,,other,research,,,1,master,,,remote,,,full_time,senior,,,,,,,,in_review,manual_queue_needs_manual_rule: add design_researcher or ux_researcher canonical title,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
1945,greenhouse,7613220,https://job-boards.greenhouse.io/capco/jobs/7613220,,,Solution Architect - Insurance,"Capco Technology delivers advisory, implementation, and end‑to‑end engineering solutions across the Insurance, Financial Services, and Energy sectors. Within Insurance, we help clients modernize their technology landscapes through digital transformation, cloud‑native platform builds, AI‑enhanced product innovation, intelligent automation, data modernization, and advanced analytics. By working closely with our digital and data teams, we enable insurers to improve operational efficiency, accelerate underwriting and claims decisions, and deliver more personalized customer experiences powered by m",other,other,senior,,hybrid,China - Hong Kong,,,,,other,architecture,,,1,bachelor,,,hybrid,,,full_time,senior,,,,,,digital_transformation;cloud-native_platform_builds;ai-enhanced_product_innovation;intelligent_automation;data_modernization;advanced_analytics,,in_review,rule_review: location_without_country | manual_queue_needs_manual_rule: map to solutions_architect; insurance remains context,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
255,greenhouse,6533318002,https://job-boards.greenhouse.io/gomotive/jobs/6533318002,,,Technical Support Specialist - Spanish,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",it_support_specialist,it_operations,,,remote,,,,,,it_support_specialist,it_operations,,,0,,,,remote,,,,,spanish,,,,,,,in_review,manual_queue_reject: use pred it_support_specialist; language should stay separate,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,2
1220,greenhouse,7570041003,https://job-boards.greenhouse.io/celonis/jobs/7570041003?gh_jid=7570041003,,,Senior Data Analytics and Supply Chain Transformation - Automotive / Manufacturing,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The position of&nbsp; Senior Data Analytics and Supply Chain Consultant ( Senior Value Engineer) - Automotive / Manufacturing is a trusted advisor helping customers achieve their strategic goals and realise significant value using the Celonis Process Intelligence Platform. A Value Engineer ha",data_analyst,data_analytics,senior,,hybrid,Stockholm,,,,,consultant,data_analytics,5,,1,master,,communication;problem-solving;leadership,hybrid,,Stockholm,full_time,senior,english;swedish_optional,,,,,python;r;sql;tableau;power_bi,,in_review,manual_queue_needs_manual_rule: pred and gold disagree; add consulting/analytics transformation rule,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
1823,greenhouse,7653279,https://job-boards.greenhouse.io/capco/jobs/7653279,,,Product Owner (Agile/Scrum),"&nbsp; Join Capco – Shape the Future of Business Innovation &nbsp; At Capco, We Celebrate YOU! At Capco, we pride ourselves on fostering an inclusive and supportive workplace. By joining us, you’re stepping into a space where we encourage you to #BeYourselfAtWork . Diversity isn’t just a box tick; it’s the core of our success. We actively welcome individuals from all identities and backgrounds, and we’re committed to unlocking your unique potential. We also understand that every professional journey is unique, and some candidates may require reasonable adjustments in our hiring process. We’re ",other,other,senior,,hybrid,Belgium - Brussels,,,,,other,product_management,,,1,unspecified,,,hybrid,,Brussels,full_time,senior,,,,,,,,in_review,manual_queue_needs_manual_rule: add product_owner canonical title,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
619,greenhouse,4654833005,https://job-boards.greenhouse.io/gleanwork/jobs/4654833005,,,Lead Site Reliability Engineer,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",site_reliability_engineer,sre,senior,,hybrid,Palo Alto,,200000,260000,USD,site_reliability_engineer,sre,,,1,unspecified,,,hybrid,,Palo Alto,full_time,senior,,200000,260000,USD,yearly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
467,greenhouse,6300377,https://job-boards.greenhouse.io/canonical/jobs/6300377,,,"Software Alliances Director, EMEA","The Software Alliances team at Canonical works with leading software companies to optimize and enable their products with Ubuntu and other Canonical software, for instance our AI offerings. We develop joint product roadmaps, drive delivery, and formulate go-to-market plans, content and processes, enabling differentiated offerings and robust product life-cycle support anchored to best-in-class Canonical products. Enterprises are able to receive the benefits of open source, securely maintained, and validated solutions from cloud to edge, whether purchased from Canonical, embedded in Alliance par",alliance_manager,partnerships,director,,remote,,,,,,alliance_manager,partnerships,,,1,unspecified,,,onsite,,,full_time,director,,,,,,,,in_review,"The role family and seniority are correctly identified, but the location type is ambiguous as EMEA could refer to a region or country. | rule_review: location_without_country",ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
176,greenhouse,8382162002,https://job-boards.greenhouse.io/gomotive/jobs/8382162002,,,Field Marketing Specialist,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",marketing_specialist,marketing,senior,,hybrid,Mexico City,,,,,field_marketing_specialist,marketing,,,1,unspecified,,,hybrid,,Mexico City,full_time,senior,,,,,,,,in_review,manual_queue_needs_manual_rule: pred marketing_specialist too broad; add field_marketing_specialist rule,ollama,qwen2.5:7b,0.850,1,location_without_country,location_without_country,0
724,greenhouse,4627687005,https://job-boards.greenhouse.io/gleanwork/jobs/4627687005,,,Technical Recruiter (Contractor- 6 months),"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",technical_recruiter,recruiting,,contract,hybrid,Palo Alto,,80,100,USD,technical_recruiter,recruiting,,,0,,,,hybrid,,Palo Alto,contract,,,80,100,USD,hourly,,,in_review,rule_review: salary_without_period,ollama,qwen2.5:7b,0.950,1,location_without_country,location_without_country,1
