role_family,normalized_title
administrative_support,executive_assistant
administrative_support,administrative_assistant
administrative_support,chief_of_staff
architecture,enterprise_architect
architecture,solutions_architect
business_analysis,business_analyst
business_analysis,business_systems_analyst
consulting,consultant
consulting,implementation_consultant
consulting,implementation_coordinator
customer_success,customer_success_manager
data_analytics,analytics_director
data_analytics,analytics_engineer
data_analytics,analytics_manager
data_analytics,business_intelligence_analyst
data_analytics,business_intelligence_engineer
data_analytics,data_analyst
data_engineering,data_engineer
data_science,data_scientist
design,content_designer
design,product_designer
devops,devops_engineer
education,assistant_teacher
education,substitute_teacher
education,teacher
executive_leadership,chief_revenue_officer
executive_leadership,chief_technology_officer
finance,accountant
finance,financial_analyst
finance,investment_analyst
healthcare,healthcare_provider
healthcare_clinical,health_information_specialist
healthcare_clinical,mental_health_specialist
healthcare_clinical,medical_assistant
healthcare_clinical,nurse_practitioner
healthcare_clinical,occupational_therapist
healthcare_clinical,personal_care_specialist
healthcare_clinical,psychiatrist
healthcare_clinical,psychotherapist
healthcare_clinical,registered_nurse
hr,hr_business_partner
hr,hr_generalist
hr,hr_manager
hr,talent_analytics_specialist
it_operations,it_support_specialist
it_operations,systems_administrator
legal,legal_counsel
logistics,delivery_driver
logistics,driver
machine_learning,ml_engineer
machine_learning,ml_scientist
marketing,marketing_specialist
marketing,seo_specialist
operations,localization_intern
operations,office_administrator
operations,operations_analyst
operations,operations_specialist
operations,customer_service_specialist
other,general_application
other,other
partnerships,alliance_manager
product_management,product_manager
program_management,program_analyst
program_management,technical_program_manager
program_management,project_manager
recruiting,technical_recruiter
sales,account_executive
sales,account_manager
sales,business_development_representative
sales,industry_lead
sales,sales_representative
sales,store_associate
software_engineering,backend_engineer
software_engineering,engineering_manager
software_engineering,frontend_engineer
software_engineering,fullstack_engineer
software_engineering,software_engineer
skilled_trades,car_detailer
skilled_trades,field_technician
skilled_trades,landscape_technician
skilled_trades,mechanic
skilled_trades,technician
skilled_trades,auto_painter
sre,site_reliability_engineer
strategy,corporate_development
