job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,suggested_normalized_title,suggested_role_family,review_categories,primary_review_category,missing_core_count
1443,greenhouse,6547632,https://job-boards.greenhouse.io/appier/jobs/6547632,appier,Technical Service Engineer (Greater China Region),Technical Service Engineer (Greater China Region),"About Appier&nbsp; Appier is a software-as-a-service (SaaS) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s mission is turning AI into ROI by making software intelligent. Appier now has 17 offices across APAC, Europe and U.S., and is listed on the Tokyo Stock Exchange (Ticker number: 4180).&nbsp;Visit&nbsp; www.appier.com &nbsp;for more information.. About the role As an Appier Technical Service Engineer (Greater China Region) , your primary responsibility is to assist clients in integrating Appier AI",software_engineer,software_engineering,,,,Taipei,TW,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The term 'Technical Service Engineer' does not strongly align with the predicted role family of 'software_engineering'. The region specification (Greater China Region) might be causing ambiguity. | suggested_title=service_engineer;suggested_role_family=technical_support,ollama,qwen2.5:7b,0.200,1,service_engineer,technical_support,low_confidence|too_many_core_fields_missing,low_confidence,3
1732,greenhouse,7427269,https://job-boards.greenhouse.io/capco/jobs/7427269,capco,LD Ops,LD Ops,"&nbsp; Job Title: Operations&nbsp; About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the &nbsp;British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar &amp; Seramount . With our presence across 32 cities across globe, we support 100+ clients across&nbsp;banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery.&nbsp; WHY JOIN CAPCO? You will work on engaging projects with the largest international and local banks, insurance comp",other,other,,,,India - Bengaluru,IN,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,"Ambiguous title, could refer to various operational roles. | suggested_title=lead_operations;suggested_role_family=management",ollama,qwen2.5:7b,0.500,1,lead_operations,management,low_confidence|too_many_core_fields_missing,low_confidence,3
1378,greenhouse,6958296,https://job-boards.greenhouse.io/appier/jobs/6958296,appier,HR Employee Experience Senior Manager / Associate Director,HR Employee Experience Senior Manager / Associate Director,"Overview: We are seeking an experienced and dynamic HR Senior Manager/ Associate Director to lead our HR Employee Experience team with a focus on efficiency, effectiveness, and exceptional employee experience delivery. The ideal candidate will possess a strong background in HR problem solving / consulting, HR Shared Service Center management, HRIS management, and a proven track record in driving HR process improvement initiatives. This role requires excellent leadership and communication skills, strategic thinking, and the ability to collaborate with cross-functional teams to deliver HR soluti",manager,operations,associate,,,Taipei,TW,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,"The title suggests a focus on employee experience, which is more aligned with human resources or customer service roles rather than operations. | suggested_title=hr_manager;suggested_role_family=human_resources",ollama,qwen2.5:7b,0.250,1,hr_manager,human_resources,low_confidence|too_many_core_fields_missing,low_confidence,3
377,greenhouse,6177790,https://job-boards.greenhouse.io/canonical/jobs/6177790,canonical,MAAS Data Center Infrastructure Engineer (Toronto area),MAAS Data Center Infrastructure Engineer (Toronto area),"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1100+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",analytics_engineer,data_analytics,,,hybrid,Toronto,CA,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,"The title does not match 'analytics_engineer' or 'data_analytics'. It seems to be related to data center infrastructure, which is more aligned with engineering roles. | suggested_title=data_center_infrastructure_engineer;suggested_role_family=engineering",ollama,qwen2.5:7b,0.100,1,data_center_infrastructure_engineer,engineering,low_confidence|too_many_core_fields_missing,low_confidence,3
1188,greenhouse,7547001003,https://job-boards.greenhouse.io/celonis/jobs/7547001003?gh_jid=7547001003,celonis,Procurement Manager - Marketing,Procurement Manager - Marketing,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: Reporting to our Global Head of Procurement you will work closely with various internal stakeholders and global leadership across the board to develop long-term procurement strategies. You will be part of an experienced and ambitious global procurement team. Despite the different ti",marketing_specialist,marketing,senior,,hybrid,Madrid,ES,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,"The title suggests a focus on procurement, which does not align with the predicted role family of marketing. | suggested_title=procurement_specialist;suggested_role_family=procurement",ollama,qwen2.5:7b,0.200,1,procurement_specialist,procurement,low_confidence|too_many_core_fields_missing,low_confidence,3
1552,greenhouse,4989990,https://job-boards.greenhouse.io/capco/jobs/4989990,capco,Banco de Talentos - Energia,Banco de Talentos - Energia,"SOBRE A CAPCO A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros. Somos apaixonados por ajudar nossos clientes a ter sucesso em um setor em constante mudança. Estamos prospectando profissionais para vagas em Energy . Buscamos profissionais com 2 à 5 anos de experiência nas seguintes áreas: Engenharia (diversas especialidades); Administração; Análise de Sistemas; Tecnologia em Segurança; Tecnologia Industrial. &nbsp; Aplique-se aqui.&nbsp;",other,other,,,,,BR,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The title does not clearly indicate a specific job role or family. | suggested_title=talent_bank;suggested_role_family=hr,ollama,qwen2.5:7b,0.500,1,talent_bank,hr,low_confidence|too_many_core_fields_missing,low_confidence,3
1023,greenhouse,7408665,https://job-boards.greenhouse.io/webflow/jobs/7408665,webflow,"Partner Manager, Agencies","Partner Manager, Agencies","At Webflow, we’re building the world’s leading AI-native Digital Experience Platform, and we’re doing it as a remote-first company built on trust, transparency, and a whole lot of creativity. This work takes grit, because we move fast, without ever sacrificing craft or quality. Our mission is to bring development superpowers to everyone. From entrepreneurs launching their first idea to global enterprises scaling their digital presence, we empower teams to design, launch, and optimize for the web without barriers. We believe the future of the web, and work, is more open, more creative, and more",manager,operations,senior,full_time,remote,CA (BC & ON only),US,179000,226000,USD,other,other,,,,,,,,,,,,,,,,,,,in_review,"The term 'Partner Manager' is not strongly aligned with the predicted role family of 'operations'. It could potentially fit into a business development or management category, but this is ambiguous. | suggested_title=business_partner;suggested_role_family=management",ollama,qwen2.5:7b,0.250,1,business_partner,management,low_confidence|too_many_core_fields_missing,low_confidence,3
218,greenhouse,8291209002,https://job-boards.greenhouse.io/gomotive/jobs/8291209002,gomotive,Senior Finance Operations Analyst,Senior Finance Operations Analyst,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, ",financial_analyst,finance,senior,,remote,,,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The term 'Senior Finance Operations Analyst' does not reliably match the predicted title and role family. It may be a more specific position within finance operations. | suggested_title=finance_operations_analyst;suggested_role_family=finance_operations,ollama,qwen2.5:7b,0.300,1,finance_operations_analyst,finance_operations,low_confidence|too_many_core_fields_missing,low_confidence,3
1525,greenhouse,7651013,https://job-boards.greenhouse.io/capco/jobs/7651013,capco,AI Technical Architect,AI Technical Architect,"About the team: &nbsp; At the Capco Technology Delivery Center, we are dedicated to the financial services industries. Our professionals combine innovative thinking with unrivalled industry and domain expertise to offer our clients consulting expertise , complex technology and package integration, transformation delivery, and managed services, to move their organizations forward. Through our collaborative and efficient approach, we help our clients successfully innovate, increase revenue, manage risk and regulatory change, reduce costs, and enhance controls. Our teams stay at the forefront of ",enterprise_architect,architecture,junior,,hybrid,US - New York,,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The term 'AI Technical Architect' is specific and may not align with the general role family of 'architecture'. Further review is recommended. | suggested_title=ai_architect;suggested_role_family=technical,ollama,qwen2.5:7b,0.200,1,ai_architect,technical,low_confidence|too_many_core_fields_missing,low_confidence,3
1868,greenhouse,7522365,https://job-boards.greenhouse.io/capco/jobs/7522365,capco,Senior BA/PM | Securities Services,Senior BA/PM | Securities Services,"ABOUT CAPCO &nbsp; Capco is a global technology and management consultancy specializing in driving digital transformation in the financial services and insurance industries. Capco is committed to providing clients with practical solutions. We offer a globally integrated service with offices in leading financial centers across the globe. We have the people, the vision, and the passion. We are growing through a significant growth journey, now is a very good time to join us as we expand geographically, increase headcount and disrupt the consulting market across APAC with entrepreneurial and agile",other,other,senior,,,China - Hong Kong,HK,,,,other,other,,,,,,,,,,,,,,,,,,,in_review,The title 'Senior BA/PM | Securities Services' is ambiguous as it combines Business Analyst (BA) and Project Manager (PM) roles without clear indication of the primary role. | suggested_title=senior_business_analystproject_manager;suggested_role_family=management,ollama,qwen2.5:7b,0.500,1,senior_business_analystproject_manager,management,low_confidence|too_many_core_fields_missing,low_confidence,3
